Pallet: "pallet_statistics", Extrinsic: "add_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
Time ~=    165.5
    + i    7.823
              µs

Reads = 7 + (0 * i)
Writes = 0 + (1 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    0     119.8     9.325    7.7%
   10       223     8.639    3.8%
   20     302.9     14.64    4.8%
   30     361.3     27.91    7.7%
   40     435.6     28.75    6.5%
   50     524.9     16.99    3.2%
   60     606.4     23.22    3.8%
   70     713.4     11.64    1.6%
   80     809.1     13.79    1.7%
   90     810.7     27.68    3.4%
  100     927.6     7.504    0.8%
  110       997     11.03    1.1%
  120      1062     33.75    3.1%
  130      1143     36.92    3.2%
  140      1222     54.78    4.4%
  150      1270      53.3    4.1%
  160      1442     22.75    1.5%
  170      1507     10.79    0.7%
  180      1625     42.58    2.6%
  190      1797      47.1    2.6%
  200      1947     30.18    1.5%
  210      1973     26.76    1.3%
  220      2133     32.34    1.5%
  230      1949     100.7    5.1%
  240      1948     20.29    1.0%
  250      2152     109.8    5.1%
  260      2144     45.21    2.1%
  270      2108     45.76    2.1%
  280      2291     15.19    0.6%
  290      2362     75.25    3.1%
  300      2492     39.35    1.5%
  310      2647     11.65    0.4%
  320      2624     38.06    1.4%
  330      2656     21.67    0.8%
  340      2804     69.94    2.4%
  350      2839      23.7    0.8%
  360      2997     35.56    1.1%
  370      3254     41.78    1.2%
  380      3282     48.24    1.4%
  390      3181     52.97    1.6%
  400      3616     61.32    1.6%
  410      3479     69.39    1.9%
  420      3511     113.1    3.2%
  430      3711     78.63    2.1%
  440      3696     58.39    1.5%
  450      4093     56.02    1.3%
  460      4057     160.8    3.9%
  470      3921     60.28    1.5%
  480      4078     111.4    2.7%
  490      4150     95.45    2.2%
  500      4058     80.89    1.9%
  510      4421     132.1    2.9%
  520      4194        70    1.6%
  530      4261     124.2    2.9%
  540      4197     93.73    2.2%
  550      4614     120.6    2.6%
  560      4453     142.2    3.1%
  570      4478     69.95    1.5%
  580      4729     111.4    2.3%
  590      4549     49.12    1.0%
  600      4892     31.66    0.6%
  610      4669     30.67    0.6%
  620      5504     7.915    0.1%
  630      5114     44.78    0.8%
  640      5695     70.25    1.2%
  650      5367        53    0.9%
  660      5976       153    2.5%
  670      5496     56.21    1.0%
  680      5971     175.3    2.9%
  690      5663     54.57    0.9%
  700      5786     62.53    1.0%
  710      5812     110.2    1.8%
  720      6019     101.2    1.6%
  730      5706      99.9    1.7%
  740      5983       157    2.6%
  750      6039     29.81    0.4%
  760      6227     45.36    0.7%
  770      5998     10.72    0.1%
  780      6364     101.4    1.5%
  790      5983     114.7    1.9%
  800      6187     44.13    0.7%
  810      6207     116.6    1.8%
  820      6207     105.6    1.7%
  830      6313     96.17    1.5%
  840      6627     73.51    1.1%
  850      6528     223.9    3.4%
