Pallet: "polymesh_contracts", Extrinsic: "put_code", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
l,u,d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
524288,93954,100000,134315962,13236,9,8,4,2
524288,93954,100000,145250169,12549,9,8,4,2
524288,93954,100000,136199249,11272,9,8,4,2
524288,95953,100000,135509164,11577,9,8,4,2
524288,95953,100000,132959361,10714,9,8,4,2
524288,95953,100000,132749619,11646,9,8,4,2
524288,95953,100000,135852956,11731,9,8,4,2
524288,95953,100000,139458018,12189,9,8,4,2
524288,97952,100000,137887959,12316,9,8,4,2
524288,97952,100000,128899043,11247,9,8,4,2
524288,97952,100000,126340969,11727,9,8,4,2
524288,97952,100000,137446771,12945,9,8,4,2
524288,97952,100000,138997586,11778,9,8,4,2
524288,99951,100000,128040255,13840,9,8,4,2
524288,99951,100000,131321367,11803,9,8,4,2
524288,99951,100000,131506289,11166,9,8,4,2
524288,99951,100000,130447801,12211,9,8,4,2
524288,99951,100000,129910921,12255,9,8,4,2
524288,100000,1,134503791,10306,9,8,4,2
524288,100000,1,128578724,12915,9,8,4,2
524288,100000,1,129752492,11257,9,8,4,2
524288,100000,1,127882216,10246,9,8,4,2
524288,100000,1,134654706,10429,9,8,4,2
524288,100000,2000,132794673,10925,9,8,4,2
524288,100000,2000,142637239,14013,9,8,4,2
524288,100000,2000,126223844,10929,9,8,4,2
524288,100000,2000,124381938,11310,9,8,4,2
524288,100000,2000,125735395,10546,9,8,4,2
524288,100000,3999,129523659,13158,9,8,4,2
524288,100000,3999,132602365,14042,9,8,4,2
524288,100000,3999,133189016,12112,9,8,4,2
524288,100000,3999,135452650,9987,9,8,4,2
524288,100000,3999,129063424,23608,9,8,4,2
524288,100000,5998,136897652,11877,9,8,4,2
524288,100000,5998,141324025,11390,9,8,4,2
524288,100000,5998,131775927,11303,9,8,4,2
524288,100000,5998,132024937,10916,9,8,4,2
524288,100000,5998,129857014,10773,9,8,4,2
524288,100000,7997,132044265,12515,9,8,4,2
524288,100000,7997,136321201,11318,9,8,4,2
524288,100000,7997,137993866,9789,9,8,4,2
524288,100000,7997,136755839,12208,9,8,4,2
524288,100000,7997,131743164,10806,9,8,4,2
524288,100000,9996,134614631,10396,9,8,4,2
524288,100000,9996,141617210,13178,9,8,4,2
524288,100000,9996,141374881,11293,9,8,4,2
524288,100000,9996,132845470,12402,9,8,4,2
524288,100000,9996,134243052,10690,9,8,4,2
524288,100000,11995,129370180,10500,9,8,4,2
524288,100000,11995,134102759,12628,9,8,4,2
524288,100000,11995,135488473,11075,9,8,4,2
524288,100000,11995,134225162,10303,9,8,4,2
524288,100000,11995,133349863,12269,9,8,4,2
524288,100000,13994,131722361,11324,9,8,4,2
524288,100000,13994,134437363,13360,9,8,4,2
524288,100000,13994,132989594,11253,9,8,4,2
524288,100000,13994,143138890,12040,9,8,4,2
524288,100000,13994,134599923,12360,9,8,4,2
524288,100000,15993,132884571,11514,9,8,4,2
524288,100000,15993,133201373,11666,9,8,4,2
