Pallet: "pallet_corporate_actions", Extrinsic: "initiate_corporate_action_provided", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
w,t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,175,1014418,7423,16,11,5,2
1000,175,923568,8394,16,11,5,2
1000,180,927636,6318,16,11,5,2
1000,180,937857,7302,16,11,5,2
1000,180,978942,7245,16,11,5,2
1000,180,974023,7596,16,11,5,2
1000,180,927562,7783,16,11,5,2
1000,185,1032070,7437,16,11,5,2
1000,185,1099188,7859,16,11,5,2
1000,185,1034492,7235,16,11,5,2
1000,185,919135,7133,16,11,5,2
1000,185,1121165,7653,16,11,5,2
1000,190,1040567,17637,16,11,5,2
1000,190,988835,7379,16,11,5,2
1000,190,1051714,7573,16,11,5,2
1000,190,923266,6600,16,11,5,2
1000,190,897132,6577,16,11,5,2
1000,195,908578,6900,16,11,5,2
1000,195,982104,7318,16,11,5,2
1000,195,1041991,8522,16,11,5,2
1000,195,900742,6621,16,11,5,2
1000,195,941706,7961,16,11,5,2
1000,200,1100841,7788,16,11,5,2
1000,200,902662,6271,16,11,5,2
1000,200,949054,8009,16,11,5,2
1000,200,1007340,7546,16,11,5,2
1000,200,1060373,6963,16,11,5,2
1000,205,1040075,7020,16,11,5,2
1000,205,1175314,7566,16,11,5,2
1000,205,955098,7760,16,11,5,2
1000,205,1163248,8468,16,11,5,2
1000,205,920071,7143,16,11,5,2
1000,210,1033036,7718,16,11,5,2
1000,210,1038233,7441,16,11,5,2
1000,210,1132214,8225,16,11,5,2
1000,210,959236,7412,16,11,5,2
1000,210,927090,8084,16,11,5,2
1000,215,1023854,7740,16,11,5,2
1000,215,1102869,8053,16,11,5,2
1000,215,1058169,6916,16,11,5,2
1000,215,931265,7508,16,11,5,2
1000,215,937260,7535,16,11,5,2
1000,220,1015583,8024,16,11,5,2
