Pallet: "pallet_staking", Extrinsic: "reap_stash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   80     628.5     15.76    2.5%
   81     590.2     40.38    6.8%
   82     593.6     23.35    3.9%
   83     582.6     45.04    7.7%
   84     642.9     2.584    0.4%
   85     559.8     0.963    0.1%
   86     642.9     34.57    5.3%
   87     616.2     19.35    3.1%
   88     644.7     24.88    3.8%
   89     641.2     28.65    4.4%
   90     641.1     23.95    3.7%
   91      2804      2993  106.7%
   92     722.7     181.3   25.0%
   93       676      37.3    5.5%
   94     710.5     14.38    2.0%
   95     732.7     8.769    1.1%
   96     651.2     14.43    2.2%
   97     736.5     14.53    1.9%
   98       791     43.73    5.5%
   99     701.5     83.23   11.8%
  100     755.9     1.652    0.2%

Quality and confidence:
param     error
s         0.739

Model:
Time ~=    88.08
    + s    6.965
              µs

Reads = 4 + (0 * s)
Writes = 8 + (1 * s)
