Pallet: "pallet_corporate_actions", Extrinsic: "link_ca_doc", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
810,4156076,3704,820,8,1,2
810,4185862,3830,820,8,1,2
820,4114662,4005,830,8,1,2
820,4171386,3646,830,8,1,2
820,4190229,3937,830,8,1,2
820,4163437,3537,830,8,1,2
820,4141901,3595,830,8,1,2
830,4247705,4025,840,8,1,2
830,4232162,3800,840,8,1,2
830,4206550,3997,840,8,1,2
830,4275732,3759,840,8,1,2
830,4274198,3888,840,8,1,2
840,4259674,3704,850,8,1,2
840,4216157,3576,850,8,1,2
840,4217993,3584,850,8,1,2
840,4268708,3736,850,8,1,2
840,4253669,4129,850,8,1,2
850,4343018,3724,860,8,1,2
850,4362819,3988,860,8,1,2
850,4343409,3909,860,8,1,2
850,4361592,3928,860,8,1,2
850,4364914,4407,860,8,1,2
860,4362138,3826,870,8,1,2
860,4382133,3925,870,8,1,2
860,4353443,4169,870,8,1,2
860,4378589,4178,870,8,1,2
860,4476234,4213,870,8,1,2
870,4465081,3778,880,8,1,2
870,4444333,3778,880,8,1,2
870,4453665,3944,880,8,1,2
870,4435807,3885,880,8,1,2
870,4421142,3981,880,8,1,2
880,4625844,3901,890,8,1,2
880,4641866,3924,890,8,1,2
880,4602741,3963,890,8,1,2
880,4600160,3659,890,8,1,2
880,4605987,3982,890,8,1,2
890,4698127,3885,900,8,1,2
890,4746168,4331,900,8,1,2
890,4648737,3551,900,8,1,2
890,4821903,4086,900,8,1,2
890,4682662,3713,900,8,1,2
900,4664194,3755,910,8,1,2
900,4684185,3631,910,8,1,2
900,4706805,3491,910,8,1,2
900,4754609,3459,910,8,1,2
900,4725149,3670,910,8,1,2
910,4745261,4100,920,8,1,2
910,4817613,4129,920,8,1,2
910,4855375,3914,920,8,1,2
910,4834771,3836,920,8,1,2
910,4771630,4242,920,8,1,2
920,4818496,3792,930,8,1,2
920,4791321,4018,930,8,1,2
920,4840569,4150,930,8,1,2
920,4818540,3754,930,8,1,2
920,4783498,3856,930,8,1,2
930,4897676,3890,940,8,1,2
930,4889559,4262,940,8,1,2
930,4884268,4226,940,8,1,2
930,4921689,3890,940,8,1,2
930,4866715,3767,940,8,1,2
940,4978759,3776,950,8,1,2
940,4981755,3873,950,8,1,2
940,5066821,4465,950,8,1,2
940,5485563,3746,950,8,1,2
940,5057389,3550,950,8,1,2
950,5037262,3662,960,8,1,2
950,4951214,3891,960,8,1,2
950,4979105,3635,960,8,1,2
950,4960258,3882,960,8,1,2
950,4941118,3755,960,8,1,2
960,5088073,4326,970,8,1,2
960,5059228,3546,970,8,1,2
960,5071088,3747,970,8,1,2
960,5090344,4337,970,8,1,2
960,5122812,3921,970,8,1,2
970,5090122,4203,980,8,1,2
970,5120286,3943,980,8,1,2
970,5168273,3478,980,8,1,2
970,5071048,3889,980,8,1,2
970,5093345,3766,980,8,1,2
980,5166426,4464,990,8,1,2
980,5135606,4002,990,8,1,2
980,5253331,3798,990,8,1,2
980,5080627,4154,990,8,1,2
980,5139942,3823,990,8,1,2
990,5153199,3913,1000,8,1,2
990,5194478,3852,1000,8,1,2
990,5222722,4366,1000,8,1,2
990,5233167,4233,1000,8,1,2
990,5178763,4098,1000,8,1,2
1000,5252865,3984,1010,8,1,2
1000,5304435,4148,1010,8,1,2
1000,5281565,3946,1010,8,1,2
1000,5278908,3835,1010,8,1,2
1000,5346412,3739,1010,8,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + d    5.213
              µs

Reads = 10 + (1 * d)
Writes = 1 + (0 * d)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    d   mean µs  sigma µs       %
    0      49.5      0.65    1.3%
   10     89.56     0.079    0.0%
   20     130.9      0.42    0.3%
   30     172.2     0.384    0.2%
   40     217.9     0.477    0.2%
   50     268.2     0.113    0.0%
   60     307.7     1.139    0.3%
   70     352.1     0.089    0.0%
   80     399.4     0.607    0.1%
   90     443.1     1.283    0.2%
  100     502.5     1.591    0.3%
  110     545.6     0.859    0.1%
  120     586.6     3.142    0.5%
  130       634     0.655    0.1%
  140     677.4     0.767    0.1%
  150     735.8     0.671    0.0%
  160     767.8      0.33    0.0%
  170     815.9     1.921    0.2%
  180     847.8     1.218    0.1%
  190     903.2     1.296    0.1%
  200     949.6     2.038    0.2%
  210      1001     0.418    0.0%
  220      1063     3.094    0.2%
  230      1095     1.283    0.1%
  240      1159     3.296    0.2%
  250      1199      0.73    0.0%
  260      1242     3.118    0.2%
  270      1281     1.111    0.0%
  280      1331     1.346    0.1%
  290      1371     4.202    0.3%
  300      1439     6.497    0.4%
  310      1494     4.381    0.2%
  320      1532     0.672    0.0%
  330      1581     3.211    0.2%
  340      1630     4.007    0.2%
  350      1690     3.086    0.1%
  360      1790     9.406    0.5%
  370      1826     1.926    0.1%
  380      1832     1.579    0.0%
  390      1870     1.812    0.0%
  400      1930     3.169    0.1%
  410      1992     1.724    0.0%
  420      2034     4.195    0.2%
  430      2080     1.739    0.0%
  440      2185     7.291    0.3%
  450      2217     4.962    0.2%
  460      2275     6.889    0.3%
  470      2323     2.312    0.0%
  480      2393     14.06    0.5%
  490      2422     3.587    0.1%
  500      2524     3.092    0.1%
  510      2540     3.484    0.1%
  520      2597     10.39    0.4%
  530      2664     23.36    0.8%
  540      2663      2.45    0.0%
  550      2730     4.294    0.1%
  560      2785     5.001    0.1%
  570      2874     16.93    0.5%
  580      2941     23.24    0.7%
  590      2915     3.792    0.1%
  600      3033     13.55    0.4%
  610      3089     12.27    0.3%
  620      3146     28.35    0.9%
  630      3171     16.17    0.5%
  640      3230     12.33    0.3%
  650      3222     2.687    0.0%
  660      3386     19.17    0.5%
  670      3433     14.13    0.4%
  680      3479     4.665    0.1%
  690      3464     0.869    0.0%
  700      3577     1.946    0.0%
  710      3626      4.02    0.1%
  720      3643     15.42    0.4%
  730      3674     4.034    0.1%
  740      3820     17.57    0.4%
  750      3766      5.89    0.1%
  760      3850     4.335    0.1%
  770      3904      4.33    0.1%
  780      3969     9.679    0.2%
  790      4002     10.48    0.2%
  800      4056     19.26    0.4%
  810      4146     14.55    0.3%
  820      4158     12.45    0.2%
  830      4251     17.35    0.4%
  840      4243     18.39    0.4%
  850      4355     8.874    0.2%
  860      4374     8.711    0.1%
  870      4444     7.292    0.1%
  880      4611     10.21    0.2%
  890      4708     27.03    0.5%
  900      4705     16.75    0.3%
  910      4808     26.65    0.5%
  920      4809     12.82    0.2%
  930      4890     5.514    0.1%
  940      5035     38.07    0.7%
  950      4963     11.61    0.2%
  960      5083     8.592    0.1%
  970      5101     13.52    0.2%
  980      5147     13.62    0.2%
  990      5198     18.18    0.3%
 1000      5288     11.45    0.2%

Quality and confidence:
param     error
d         0.013

Model:
Time ~=        0
    + d    5.244
              µs

Reads = 10 + (1 * d)
Writes = 1 + (0 * d)
