Pallet: "pallet_asset", Extrinsic: "rename_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
751,41747,2083,7,10,1,2
751,41432,2125,7,10,1,2
751,41399,2072,7,10,1,2
751,41316,2117,7,10,1,2
761,41009,2069,7,10,1,2
761,41755,2085,7,10,1,2
761,41766,2072,7,10,1,2
761,41041,2082,7,10,1,2
761,41723,2058,7,10,1,2
771,41296,2022,7,10,1,2
771,41498,2066,7,10,1,2
771,40854,2079,7,10,1,2
771,40922,2027,7,10,1,2
771,41372,1985,7,10,1,2
781,41556,2066,7,10,1,2
781,41571,2046,7,10,1,2
781,41591,2048,7,10,1,2
781,41465,2089,7,10,1,2
781,41728,2108,7,10,1,2
791,41352,2073,7,10,1,2
791,41625,2021,7,10,1,2
791,41568,2089,7,10,1,2
791,40965,2007,7,10,1,2
791,41442,1992,7,10,1,2
801,41277,2083,7,10,1,2
801,40809,2112,7,10,1,2
801,40869,2088,7,10,1,2
801,41302,2113,7,10,1,2
801,40814,2083,7,10,1,2
811,41096,1999,7,10,1,2
811,41127,2099,7,10,1,2
811,41380,2062,7,10,1,2
811,40969,2079,7,10,1,2
811,41614,2032,7,10,1,2
821,41342,1989,7,10,1,2
821,41592,2046,7,10,1,2
821,41169,2109,7,10,1,2
821,40729,2076,7,10,1,2
821,40987,2154,7,10,1,2
831,41215,2051,7,10,1,2
831,40603,2075,7,10,1,2
831,40994,2116,7,10,1,2
831,40944,2055,7,10,1,2
831,41480,2115,7,10,1,2
841,41178,2016,7,10,1,2
841,41290,2045,7,10,1,2
841,41429,2027,7,10,1,2
841,41052,2030,7,10,1,2
841,41163,1990,7,10,1,2
851,41067,2138,7,10,1,2
851,41004,2060,7,10,1,2
851,41356,2027,7,10,1,2
851,41424,1979,7,10,1,2
851,40535,2018,7,10,1,2
861,41349,2086,7,10,1,2
861,41225,2103,7,10,1,2
861,41268,1989,7,10,1,2
861,40772,2071,7,10,1,2
861,40397,2047,7,10,1,2
871,40837,2137,7,10,1,2
871,41052,2106,7,10,1,2
871,40949,2119,7,10,1,2
871,41311,2063,7,10,1,2
871,41040,2127,7,10,1,2
881,40894,2096,7,10,1,2
881,41103,2121,7,10,1,2
881,40801,2092,7,10,1,2
881,41186,2064,7,10,1,2
881,41431,2065,7,10,1,2
891,41448,2075,7,10,1,2
891,41249,2006,7,10,1,2
891,41379,2085,7,10,1,2
891,41637,2034,7,10,1,2
891,41024,2059,7,10,1,2
901,42815,2226,7,10,1,2
901,42740,2137,7,10,1,2
901,42269,2049,7,10,1,2
901,42447,2138,7,10,1,2
901,42790,2166,7,10,1,2
911,82275,2124,7,10,1,2
911,41487,2090,7,10,1,2
911,41422,2045,7,10,1,2
911,41270,2093,7,10,1,2
911,41760,2048,7,10,1,2
921,41089,2040,7,10,1,2
921,41039,2092,7,10,1,2
921,41728,2080,7,10,1,2
921,41451,2084,7,10,1,2
921,41255,2088,7,10,1,2
931,41611,2056,7,10,1,2
931,41565,1994,7,10,1,2
