Pallet: "pallet_staking", Extrinsic: "cancel_deferred_slash", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
  379     29770     434.3    1.4%
  388     30430     644.8    2.1%
  397     31310     123.7    0.3%
  406     30030     193.4    0.6%
  415     30760     158.3    0.5%
  424     32720      1093    3.3%
  433     32490     349.1    1.0%
  442     33110     258.8    0.7%
  451     33570     229.7    0.6%
  460     33420     230.9    0.6%
  469     35200     418.4    1.1%
  478     34070     298.7    0.8%
  487     34830     429.6    1.2%
  496     36800     302.6    0.8%
  505     37450     456.2    1.2%
  514     38870     971.8    2.5%
  523     36920     120.1    0.3%
  532     37850     498.4    1.3%
  541     46770     11100   23.7%
  550     39300     322.9    0.8%
  559     40420     796.3    1.9%
  568     41090     576.1    1.4%
  577     40750     336.9    0.8%
  586     40870     513.4    1.2%
  595     44400     280.3    0.6%
  604     41430     117.7    0.2%
  613     42760      1131    2.6%
  622     44790     328.2    0.7%
  631     43140     252.7    0.5%
  640     41950     456.4    1.0%
  649     42440     754.5    1.7%
  658     43280     436.8    1.0%
  667     43980     636.7    1.4%
  676     44390     578.2    1.3%
  685     45940     347.1    0.7%
  694     45240     812.1    1.7%
  703     45790      1300    2.8%
  712     43380     734.9    1.6%
  721     43780     134.6    0.3%
  730     44940       918    2.0%
  739     46080     429.4    0.9%
  748     47400     220.8    0.4%
  757     48510      1281    2.6%
  766     47020     269.6    0.5%
  775     44870     117.6    0.2%
  784     47920      1025    2.1%
  793     49060     778.1    1.5%
  802     49180     834.4    1.6%
  811     48460       395    0.8%
  820     47340     516.1    1.0%
  829     48310     495.9    1.0%
  838     47750     539.6    1.1%
  847     49040      1006    2.0%
  856     48400     347.6    0.7%
  865     51820     877.3    1.6%
  874     50720     244.2    0.4%
  883     50340     317.2    0.6%
  892     49170     345.4    0.7%
  901     50590     454.5    0.8%
  910     47220     276.9    0.5%
  919     48080     334.4    0.6%
  928     50530       193    0.3%
  937     51510     75.81    0.1%
  946     52320      1492    2.8%
  955     54390     306.4    0.5%
  964     50360      1285    2.5%
  973     50320     858.6    1.7%
  982     48070     237.4    0.4%
  991     50360     848.1    1.6%
 1000     50240      1219    2.4%

Quality and confidence:
param     error
s         0.725

Model:
Time ~=     8079
    + s    50.21
              µs

Reads = 1 + (0 * s)
Writes = 1 + (0 * s)
