Pallet: "pallet_settlement", Extrinsic: "allow_venues", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
-- Extrinsic Time --

Model:
Time ~=    36.67
    + v    0.768
              µs

Reads = 7 + (0 * v)
Writes = 0 + (1 * v)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    v   mean µs  sigma µs       %
    0     35.67     0.119    0.3%
    1      37.1     0.147    0.3%
    2     37.47     0.113    0.3%
    3     38.07     0.027    0.0%
    4     38.94     0.198    0.5%
    5     39.38     0.248    0.6%
    6     40.18     0.133    0.3%
    7     40.91      0.05    0.1%
    8     41.42     0.037    0.0%
    9      42.3     0.281    0.6%
   10     43.87     0.077    0.1%
   11     44.51     0.204    0.4%
   12     45.61     0.117    0.2%
   13     46.27     0.113    0.2%
   14     46.81      0.08    0.1%
   15     47.77     0.063    0.1%
   16      48.3      0.22    0.4%
   17     49.94     0.309    0.6%
   18     50.93      0.21    0.4%
   19     51.89     0.324    0.6%
   20     52.14     0.128    0.2%
   21     52.44     0.182    0.3%
   22     54.07     0.121    0.2%
   23     54.26     0.176    0.3%
   24        55     0.297    0.5%
   25     55.55     0.217    0.3%
   26     56.71     0.178    0.3%
   27     57.49     0.106    0.1%
   28     58.15     0.119    0.2%
   29     59.34     0.033    0.0%
   30     60.97     0.024    0.0%
   31     61.41     0.243    0.3%
   32     62.42     0.315    0.5%
   33     63.42     0.133    0.2%
   34     63.95     0.472    0.7%
   35     64.62     0.019    0.0%
   36     64.72      0.41    0.6%
   37     66.27     0.352    0.5%
   38     66.78     0.089    0.1%
   39     67.01      0.26    0.3%
   40     67.45     0.147    0.2%
   41      68.2     0.302    0.4%
   42     69.12     0.128    0.1%
   43     70.82      0.47    0.6%
   44     72.16     0.086    0.1%
   45     72.51     0.135    0.1%
   46     72.44     0.474    0.6%
   47      73.9      0.18    0.2%
   48     73.76     0.146    0.1%
   49     75.23      0.57    0.7%
   50     75.93     0.236    0.3%
   51     75.63     0.132    0.1%
   52     77.28     0.877    1.1%
   53     78.66     0.123    0.1%
   54     79.72     0.312    0.3%
   55     79.31      1.04    1.3%
   56        80      0.87    1.0%
   57     80.23     0.263    0.3%
   58     81.99     0.273    0.3%
   59     81.75     0.248    0.3%
   60      83.3     0.517    0.6%
   61     83.75     0.464    0.5%
   62      85.1     0.099    0.1%
   63     85.11     0.787    0.9%
   64      86.3     0.524    0.6%
   65      86.9     0.239    0.2%
   66     87.57     0.643    0.7%
   67     89.31     0.138    0.1%
   68     88.41      0.47    0.5%
   69     90.28     0.111    0.1%
   70     88.84      0.76    0.8%
   71     90.87      0.89    0.9%
   72     92.71     0.386    0.4%
   73     92.26     0.636    0.6%
   74     93.72     0.187    0.1%
   75      92.3     0.284    0.3%
   76     94.68     0.622    0.6%
   77     96.43     0.252    0.2%
   78     97.26     0.277    0.2%
   79     96.58     0.767    0.7%
   80     97.58     0.727    0.7%
   81     99.48     0.736    0.7%
   82     100.3     0.652    0.6%
   83     100.2     0.883    0.8%
   84     101.7     0.107    0.1%
   85     101.2     1.354    1.3%
   86     102.3     0.565    0.5%
   87     103.7     0.549    0.5%
   88     103.7     1.044    1.0%
   89     104.5     0.951    0.9%
   90     104.8     1.694    1.6%
   91       105     0.774    0.7%
   92     105.3     0.328    0.3%
   93     106.3     1.478    1.3%
   94     108.3      0.35    0.3%
   95       107     0.542    0.5%
   96     108.9     1.144    1.0%
   97     108.5     1.177    1.0%
   98     110.9     0.584    0.5%
   99     110.5     0.508    0.4%
  100     112.2     0.577    0.5%

Quality and confidence:
param     error
v         0.002

Model:
Time ~=    36.89
    + v    0.762
              µs

Reads = 7 + (0 * v)
Writes = 0 + (1 * v)
