Pallet: "pallet_portfolio", Extrinsic: "create_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
337,122301,4261,8,8,2,2
337,154343,4734,8,8,2,2
337,142645,4879,8,8,2,2
337,141737,4722,8,8,2,2
341,122767,4926,8,8,2,2
341,156787,4811,8,8,2,2
341,141754,4566,8,8,2,2
341,122973,4152,8,8,2,2
341,144307,4303,8,8,2,2
345,124342,4494,8,8,2,2
345,142248,4830,8,8,2,2
345,120059,4137,8,8,2,2
345,141641,4712,8,8,2,2
345,122732,4045,8,8,2,2
349,139540,4306,8,8,2,2
349,141662,4704,8,8,2,2
349,151397,4029,8,8,2,2
349,141161,4903,8,8,2,2
349,136867,4342,8,8,2,2
353,141392,4212,8,8,2,2
353,122841,4110,8,8,2,2
353,123203,4093,8,8,2,2
353,122158,4038,8,8,2,2
353,159140,4667,8,8,2,2
357,123255,4244,8,8,2,2
357,122796,4186,8,8,2,2
357,131186,4072,8,8,2,2
357,140127,4109,8,8,2,2
357,123505,3986,8,8,2,2
361,142003,4782,8,8,2,2
361,142439,4646,8,8,2,2
361,126193,4365,8,8,2,2
361,144025,4645,8,8,2,2
361,124986,4187,8,8,2,2
365,147551,4890,8,8,2,2
365,143095,4887,8,8,2,2
365,142836,4757,8,8,2,2
365,142096,4707,8,8,2,2
365,123005,4073,8,8,2,2
369,143058,5059,8,8,2,2
369,142900,4892,8,8,2,2
369,125468,4449,8,8,2,2
369,122844,4290,8,8,2,2
369,122123,4232,8,8,2,2
373,123088,4287,8,8,2,2
373,142679,4743,8,8,2,2
373,122852,4183,8,8,2,2
373,123462,4087,8,8,2,2
373,174522,5054,8,8,2,2
377,141588,5372,8,8,2,2
377,123724,4203,8,8,2,2
377,142658,4698,8,8,2,2
377,143482,4193,8,8,2,2
377,141739,4744,8,8,2,2
381,142267,4797,8,8,2,2
381,123715,4027,8,8,2,2
381,141983,4794,8,8,2,2
381,123604,4133,8,8,2,2
381,142535,4722,8,8,2,2
385,146579,5120,8,8,2,2
385,125042,4435,8,8,2,2
385,143513,4830,8,8,2,2
385,124058,4192,8,8,2,2
385,143858,4705,8,8,2,2
389,157022,5095,8,8,2,2
389,147406,4925,8,8,2,2
389,161974,4745,8,8,2,2
389,148493,4936,8,8,2,2
389,154458,4900,8,8,2,2
393,123779,4341,8,8,2,2
393,123067,4067,8,8,2,2
393,136550,4113,8,8,2,2
393,122548,4179,8,8,2,2
393,142329,16582,8,8,2,2
397,126817,4306,8,8,2,2
397,143676,4788,8,8,2,2
397,137083,4202,8,8,2,2
397,142153,4619,8,8,2,2
397,123334,4028,8,8,2,2
401,119829,4050,8,8,2,2
401,123634,4156,8,8,2,2
401,143919,3998,8,8,2,2
401,124901,4226,8,8,2,2
401,142794,4690,8,8,2,2
405,143133,4908,8,8,2,2
