Pallet: "pallet_settlement", Extrinsic: "create_venue", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
68932,50,110401,2329,8,8,53,2
68932,50,109568,2350,8,8,53,2
68932,50,109786,2368,8,8,53,2
68932,50,108925,2401,8,8,53,2
69931,50,109266,2343,8,8,53,2
69931,50,109077,2226,8,8,53,2
69931,50,109567,2267,8,8,53,2
69931,50,110853,2397,8,8,53,2
69931,50,110355,2383,8,8,53,2
70930,50,110439,2344,8,8,53,2
70930,50,110688,2258,8,8,53,2
70930,50,109856,2401,8,8,53,2
70930,50,110761,2468,8,8,53,2
70930,50,108763,2285,8,8,53,2
71929,50,110150,2440,8,8,53,2
71929,50,110095,2433,8,8,53,2
71929,50,110598,2352,8,8,53,2
71929,50,110561,2330,8,8,53,2
71929,50,115269,2413,8,8,53,2
72928,50,110237,2426,8,8,53,2
72928,50,111390,2293,8,8,53,2
72928,50,109873,2422,8,8,53,2
72928,50,111262,2334,8,8,53,2
72928,50,110894,2372,8,8,53,2
73927,50,110498,2505,8,8,53,2
73927,50,110399,2432,8,8,53,2
73927,50,110632,2366,8,8,53,2
73927,50,111196,2418,8,8,53,2
73927,50,110129,2351,8,8,53,2
74926,50,110983,2441,8,8,53,2
74926,50,111290,2423,8,8,53,2
74926,50,110704,2323,8,8,53,2
74926,50,110495,2395,8,8,53,2
74926,50,111152,2385,8,8,53,2
75925,50,111974,2409,8,8,53,2
75925,50,112688,2324,8,8,53,2
75925,50,111550,2314,8,8,53,2
75925,50,115557,2392,8,8,53,2
75925,50,111457,2410,8,8,53,2
76924,50,111881,2408,8,8,53,2
76924,50,112092,2354,8,8,53,2
76924,50,111162,2350,8,8,53,2
76924,50,111907,2348,8,8,53,2
76924,50,110624,2429,8,8,53,2
77923,50,110829,2483,8,8,53,2
77923,50,111703,2429,8,8,53,2
77923,50,112165,2339,8,8,53,2
77923,50,111623,2508,8,8,53,2
77923,50,112226,2387,8,8,53,2
78922,50,112088,2483,8,8,53,2
78922,50,111527,2454,8,8,53,2
78922,50,110188,2408,8,8,53,2
78922,50,111594,2485,8,8,53,2
78922,50,111763,2362,8,8,53,2
79921,50,110110,2320,8,8,53,2
79921,50,109741,2325,8,8,53,2
79921,50,110772,2442,8,8,53,2
79921,50,109562,2429,8,8,53,2
79921,50,109174,2419,8,8,53,2
80920,50,108821,2419,8,8,53,2
80920,50,110739,2412,8,8,53,2
80920,50,109745,2334,8,8,53,2
80920,50,110329,2452,8,8,53,2
80920,50,109854,2324,8,8,53,2
81919,50,111358,2441,8,8,53,2
81919,50,109913,2434,8,8,53,2
81919,50,109629,2444,8,8,53,2
81919,50,110564,2436,8,8,53,2
81919,50,108961,2390,8,8,53,2
82918,50,111770,2360,8,8,53,2
82918,50,110463,2389,8,8,53,2
82918,50,111138,2333,8,8,53,2
82918,50,110011,2279,8,8,53,2
82918,50,147193,2400,8,8,53,2
83917,50,110037,2440,8,8,53,2
83917,50,110426,2348,8,8,53,2
83917,50,111438,2334,8,8,53,2
83917,50,110678,2427,8,8,53,2
83917,50,111246,2368,8,8,53,2
84916,50,110870,2548,8,8,53,2
84916,50,110461,2481,8,8,53,2
84916,50,111058,2383,8,8,53,2
84916,50,128971,2408,8,8,53,2
84916,50,111113,2393,8,8,53,2
85915,50,112260,2431,8,8,53,2
85915,50,110626,2270,8,8,53,2
85915,50,111840,2254,8,8,53,2
85915,50,112330,2427,8,8,53,2
85915,50,111250,2395,8,8,53,2
86914,50,112402,2479,8,8,53,2
86914,50,112045,2468,8,8,53,2
86914,50,111117,2403,8,8,53,2
86914,50,111897,2395,8,8,53,2
86914,50,111207,2368,8,8,53,2
87913,50,110898,2433,8,8,53,2
87913,50,111733,2360,8,8,53,2
87913,50,112364,2438,8,8,53,2
87913,50,113872,2399,8,8,53,2
87913,50,111482,2399,8,8,53,2
88912,50,110397,2462,8,8,53,2
88912,50,111680,2358,8,8,53,2
88912,50,111785,2369,8,8,53,2
88912,50,111352,2305,8,8,53,2
88912,50,111609,2318,8,8,53,2
89911,50,112886,2376,8,8,53,2
89911,50,113078,2358,8,8,53,2
89911,50,111822,2431,8,8,53,2
89911,50,112415,2319,8,8,53,2
89911,50,111997,2352,8,8,53,2
90910,50,111932,2395,8,8,53,2
90910,50,112548,2280,8,8,53,2
90910,50,111874,2328,8,8,53,2
90910,50,112375,2522,8,8,53,2
90910,50,111888,2276,8,8,53,2
