Pallet: "pallet_staking", Extrinsic: "set_invulnerables", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
  840     12.64     0.874    6.9%
  850      13.7     0.031    0.2%
  860     13.38     0.505    3.7%
  870     12.58     0.877    6.9%
  880     14.26     0.202    1.4%
  890     14.32     0.209    1.4%
  900     15.56     0.215    1.3%
  910     13.88     0.724    5.2%
  920      15.6     0.544    3.4%
  930     13.28     0.887    6.6%
  940      13.1       0.5    3.8%
  950     12.51     0.233    1.8%
  960     14.19     1.106    7.7%
  970        14     0.725    5.1%
  980     13.81      0.89    6.4%
  990     15.71     0.274    1.7%
 1000     15.45     0.184    1.1%

Quality and confidence:
param     error
v             0

Model:
Time ~=    5.008
    + v    0.009
              µs

Reads = 0 + (0 * v)
Writes = 1 + (0 * v)
