Pallet: "pallet_asset", Extrinsic: "remove_documents", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
   31     118.6     0.123    0.1%
   32     121.7     0.213    0.1%
   33       124     0.452    0.3%
   34     125.8     0.416    0.3%
   35       129     0.178    0.1%
   36     130.9     0.536    0.4%
   37     132.9     0.344    0.2%
   38     135.6     0.656    0.4%
   39     139.1     0.194    0.1%
   40     141.9     0.229    0.1%
   41     143.4     0.491    0.3%
   42     146.5     0.331    0.2%
   43     148.3     0.764    0.5%
   44     150.8     0.057    0.0%
   45     153.5      0.79    0.5%
   46     155.9     0.521    0.3%
   47     158.1      0.35    0.2%
   48     160.9     0.175    0.1%
   49     163.1     0.591    0.3%
   50     165.3     0.371    0.2%
   51     168.3     0.539    0.3%
   52       171     0.443    0.2%
   53     173.6      0.46    0.2%
   54     176.2     0.528    0.2%
   55     177.7      0.34    0.1%
   56     181.8     0.104    0.0%
   57     184.3     0.309    0.1%
   58     186.9     0.419    0.2%
   59     189.7     0.293    0.1%
   60     191.2     0.254    0.1%
   61     193.1     0.301    0.1%
   62     196.6     0.569    0.2%
   63     198.6     0.168    0.0%
   64     201.5     0.458    0.2%

Quality and confidence:
param     error
d         0.007

Model:
Time ~=    38.53
    + d    2.558
              µs

Reads = 7 + (0 * d)
Writes = 0 + (1 * d)
