Pallet: "pallet_staking", Extrinsic: "new_era", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
10,94,36240529,9541,767,2876,38,2
10,94,35238592,7868,767,2876,38,2
10,94,35516312,7613,767,2876,38,2
10,95,34976083,7559,774,2905,38,2
10,95,35969535,7810,774,2905,38,2
10,95,38378667,8484,774,2905,38,2
10,95,38262988,7775,774,2905,38,2
10,95,36445738,7851,774,2905,38,2
10,96,35003742,9116,781,2934,38,2
10,96,36361692,8539,781,2934,38,2
10,96,39503611,8529,781,2934,38,2
10,96,38369294,8461,781,2934,38,2
10,96,37893507,9386,781,2934,38,2
10,97,36888687,8899,788,2963,38,2
10,97,38013879,8175,788,2963,38,2
10,97,36043258,7903,788,2963,38,2
10,97,37072918,9036,788,2963,38,2
10,97,35427186,9378,788,2963,38,2
10,98,36180727,7271,795,2992,38,2
10,98,36388771,8863,795,2992,38,2
10,98,37155938,7833,795,2992,38,2
10,98,36186802,9956,795,2992,38,2
10,98,39933029,7063,795,2992,38,2
10,99,36806415,7797,802,3021,38,2
10,99,36654441,9513,802,3021,38,2
10,99,41027936,7793,802,3021,38,2
10,99,38194727,14115,802,3021,38,2
10,99,39148941,8726,802,3021,38,2
10,100,36148460,8478,809,3050,38,2
10,100,38706749,10220,809,3050,38,2
10,100,35578640,7805,809,3050,38,2
10,100,37752911,9408,809,3050,38,2
10,100,37568604,7755,809,3050,38,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=        0
    + v     2992
    + n    360.2
              µs

Reads = 19 + (9 * v) + (7 * n)
Writes = 8 + (3 * v) + (0 * n)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    v     n   mean µs  sigma µs       %
    1   100     11370     300.7    2.6%
    2   100     14170     138.5    0.9%
    3   100     18690     596.6    3.1%
    4   100     22810     921.9    4.0%
    5   100     25210     376.1    1.4%
    6   100     28840     482.5    1.6%
    7   100     30760     608.3    1.9%
    8   100     34520     564.3    1.6%
    9   100     36730     689.5    1.8%
   10     1      2363     97.78    4.1%
   10     2      2813     55.39    1.9%
   10     3      3218     48.43    1.5%
   10     4      3440     19.94    0.5%
   10     5      3910      70.8    1.8%
   10     6      4349        81    1.8%
   10     7      4727     89.73    1.8%
   10     8      4988     190.9    3.8%
   10     9      5327     23.84    0.4%
   10    10      5857     78.57    1.3%
   10    11      6353     90.94    1.4%
   10    12      6951     112.6    1.6%
   10    13      7155     37.79    0.5%
   10    14      7455     70.91    0.9%
   10    15      7398     172.6    2.3%
   10    16      8064     68.97    0.8%
   10    17      8173      39.7    0.4%
   10    18      8413       120    1.4%
   10    19      8783     46.96    0.5%
   10    20      9714     225.8    2.3%
   10    21      9389     61.89    0.6%
   10    22     10480     84.82    0.8%
   10    23     10880       236    2.1%
   10    24     10810     73.71    0.6%
   10    25     11180     33.62    0.3%
   10    26     11790     215.9    1.8%
   10    27     11890     28.87    0.2%
   10    28     11840     137.8    1.1%
   10    29     12120     105.1    0.8%
   10    30     13600     284.3    2.0%
   10    31     13580     185.8    1.3%
   10    32     13940     118.8    0.8%
   10    33     13770     275.2    1.9%
   10    34     14370     373.9    2.6%
   10    35     14840     81.31    0.5%
   10    36     15070     417.2    2.7%
   10    37     15220     109.5    0.7%
   10    38     15900       125    0.7%
   10    39     15960     700.8    4.3%
   10    40     16060     274.7    1.7%
   10    41     16430       358    2.1%
   10    42     18440     977.2    5.2%
   10    43     17760     383.9    2.1%
   10    44     17880     311.1    1.7%
   10    45     18770     256.3    1.3%
   10    46     19430     110.5    0.5%
   10    47     20240     244.9    1.2%
   10    48     19890     357.1    1.7%
   10    49     20470     642.1    3.1%
   10    50     20120     261.7    1.3%
   10    51     20870     314.5    1.5%
   10    52     20450       266    1.3%
   10    53     21390     356.2    1.6%
   10    54     20410     154.5    0.7%
   10    55     22510       945    4.1%
   10    56     22600       454    2.0%
   10    57     21040     279.5    1.3%
   10    58     24270     767.2    3.1%
   10    59     22890     113.9    0.4%
   10    60     23500       846    3.5%
   10    61     24650     532.7    2.1%
   10    62     24120     40.63    0.1%
   10    63     24860     82.42    0.3%
   10    64     24960     379.6    1.5%
   10    65     26180     506.2    1.9%
   10    66     26040     941.9    3.6%
   10    67     26270     604.2    2.2%
   10    68     26650       264    0.9%
   10    69     27110       780    2.8%
   10    70     27330     895.7    3.2%
   10    71     28210     884.5    3.1%
   10    72     28140     385.7    1.3%
   10    73     28240     99.71    0.3%
   10    74     28390     305.7    1.0%
   10    75     30860     656.4    2.1%
   10    76     29690     489.5    1.6%
   10    77     29500     375.9    1.2%
   10    78     31530     42.01    0.1%
   10    79     30350     471.7    1.5%
   10    80     32400     306.4    0.9%
   10    81     31910     68.47    0.2%
   10    82     31800     281.2    0.8%
   10    83     32300     924.9    2.8%
   10    84     32270      1297    4.0%
   10    85     33290     170.2    0.5%
   10    86     32160     106.3    0.3%
   10    87     32920     531.4    1.6%
   10    88     32980     431.9    1.3%
   10    89     35310     336.8    0.9%
   10    90     36520     905.9    2.4%
   10    91     35430     141.1    0.3%
   10    92     35350     449.5    1.2%
   10    93     36810     698.8    1.8%
   10    94     35180     296.3    0.8%
   10    95     36890     988.2    2.6%
   10    96     37540     856.5    2.2%
   10    97     36660     448.3    1.2%
   10    98     36570     417.4    1.1%
   10    99     38050     961.7    2.5%
   10   100     38000     551.1    1.4%

Quality and confidence:
param     error
v         30.99
n         1.557

Model:
Time ~=        0
    + v     2845
    + n    364.4
              µs

Reads = 19 + (9 * v) + (7 * n)
Writes = 8 + (3 * v) + (0 * n)
