Pallet: "pallet_capital_distribution", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,180,1236587,7716,31,22,11,2
1000,180,1431205,8224,31,22,11,2
1000,200,1258435,7386,31,22,11,2
1000,200,1131381,7225,31,22,11,2
1000,200,1230047,7642,31,22,11,2
1000,200,1510779,7435,31,22,11,2
1000,200,1213207,10143,31,22,11,2
1000,220,1218908,7359,31,22,11,2
1000,220,1180586,6840,31,22,11,2
1000,220,1088704,6821,31,22,11,2
1000,220,1084851,7126,31,22,11,2
1000,220,1231926,7589,31,22,11,2
1000,240,1192761,7796,31,22,11,2
1000,240,1331174,8371,31,22,11,2
1000,240,1140893,6563,31,22,11,2
1000,240,1334980,7621,31,22,11,2
1000,240,1287950,8227,31,22,11,2
1000,260,1191872,7972,31,22,11,2
1000,260,1150348,6725,31,22,11,2
1000,260,1122875,7071,31,22,11,2
1000,260,1233327,7826,31,22,11,2
1000,260,1193698,7494,31,22,11,2
1000,280,1158818,6686,31,22,11,2
1000,280,1092927,7012,31,22,11,2
1000,280,1341668,7872,31,22,11,2
1000,280,1442358,8084,31,22,11,2
1000,280,1152092,7365,31,22,11,2
1000,300,1200823,7244,31,22,11,2
1000,300,1340031,6828,31,22,11,2
1000,300,1144259,6790,31,22,11,2
1000,300,1336338,7644,31,22,11,2
1000,300,1109617,6733,31,22,11,2
1000,320,1314219,8333,31,22,11,2
1000,320,1130078,6780,31,22,11,2
1000,320,1345349,8371,31,22,11,2
1000,320,1146138,7483,31,22,11,2
1000,320,1223012,6812,31,22,11,2
1000,340,1271948,6986,31,22,11,2
1000,340,1178581,7181,31,22,11,2
1000,340,1112834,7056,31,22,11,2
1000,340,1240944,7551,31,22,11,2
1000,340,1192467,7986,31,22,11,2
1000,360,1269924,7569,31,22,11,2
1000,360,1114558,8054,31,22,11,2
1000,360,1214998,7657,31,22,11,2
1000,360,1396779,7378,31,22,11,2
1000,360,1344179,8172,31,22,11,2
1000,380,1344130,7867,31,22,11,2
1000,380,1242297,7486,31,22,11,2
1000,380,1095090,7600,31,22,11,2
1000,380,1329854,6766,31,22,11,2
1000,380,1242751,7919,31,22,11,2
1000,400,1814856,12009,31,22,11,2
1000,400,1192925,7097,31,22,11,2
1000,400,1226644,7295,31,22,11,2
1000,400,1276347,40592,31,22,11,2
1000,400,1231519,7405,31,22,11,2
1000,420,1150638,7199,31,22,11,2
1000,420,1125659,6970,31,22,11,2
1000,420,1184295,8053,31,22,11,2
1000,420,1354841,7936,31,22,11,2
1000,420,1273542,7283,31,22,11,2
1000,440,1097625,6998,31,22,11,2
1000,440,1279964,6828,31,22,11,2
1000,440,1271140,20441,31,22,11,2
1000,440,1381145,7454,31,22,11,2
1000,440,1274616,7261,31,22,11,2
1000,460,1294731,7814,31,22,11,2
1000,460,1332945,7283,31,22,11,2
1000,460,1238091,7951,31,22,11,2
1000,460,1460135,8042,31,22,11,2
1000,460,1388788,8267,31,22,11,2
1000,480,1200790,6973,31,22,11,2
1000,480,1171813,6918,31,22,11,2
1000,480,1265162,6616,31,22,11,2
