Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_kill", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
72,678730,6237,7,5,80,2
72,697740,5779,7,5,80,2
72,616214,5321,7,5,80,2
72,682895,6843,7,5,80,2
73,718296,5719,7,5,81,2
73,620731,4775,7,5,81,2
73,594776,5900,7,5,81,2
73,600681,5926,7,5,81,2
73,626180,5594,7,5,81,2
74,711106,6482,7,5,82,2
74,631035,5320,7,5,82,2
74,642848,5386,7,5,82,2
74,665009,6041,7,5,82,2
74,641408,5474,7,5,82,2
75,605500,4686,7,5,83,2
75,572107,6249,7,5,83,2
75,685508,4980,7,5,83,2
75,550529,5466,7,5,83,2
75,639860,4680,7,5,83,2
76,751843,23571,7,5,84,2
76,586311,5170,7,5,84,2
76,642273,6179,7,5,84,2
76,738287,5615,7,5,84,2
76,650846,4775,7,5,84,2
77,575035,4861,7,5,85,2
77,649186,5671,7,5,85,2
77,746561,5646,7,5,85,2
77,736260,6191,7,5,85,2
77,699050,5953,7,5,85,2
78,635965,5522,7,5,86,2
78,654956,4944,7,5,86,2
78,746336,5392,7,5,86,2
78,610500,4848,7,5,86,2
78,605514,5580,7,5,86,2
79,673896,5596,7,5,87,2
79,671575,5313,7,5,87,2
79,661954,7270,7,5,87,2
79,578007,5456,7,5,87,2
79,665104,7091,7,5,87,2
80,708413,7044,7,5,88,2
80,665121,5872,7,5,88,2
80,760374,6424,7,5,88,2
80,749541,5895,7,5,88,2
80,709955,10243,7,5,88,2
81,664353,6260,7,5,89,2
81,762596,5457,7,5,89,2
81,628423,5053,7,5,89,2
81,653576,4744,7,5,89,2
81,594678,4661,7,5,89,2
82,645109,5180,7,5,90,2
82,646784,4679,7,5,90,2
82,667610,4640,7,5,90,2
82,584975,4643,7,5,90,2
82,600476,4994,7,5,90,2
83,848812,6547,7,5,91,2
83,684970,4835,7,5,91,2
83,651806,4779,7,5,91,2
83,590882,4872,7,5,91,2
83,605444,5459,7,5,91,2
84,659952,5569,7,5,92,2
84,768652,15421,7,5,92,2
84,591565,5221,7,5,92,2
84,593819,4706,7,5,92,2
84,718157,7317,7,5,92,2
85,733923,4793,7,5,93,2
85,581239,5228,7,5,93,2
85,631204,5393,7,5,93,2
85,617366,4743,7,5,93,2
85,600156,4842,7,5,93,2
86,614936,5719,7,5,94,2
86,605348,4827,7,5,94,2
86,605113,20652,7,5,94,2
86,637354,5325,7,5,94,2
86,618097,4755,7,5,94,2
87,841846,5038,7,5,95,2
87,621340,5112,7,5,95,2
87,700356,5493,7,5,95,2
87,666303,4647,7,5,95,2
87,609187,4939,7,5,95,2
88,628241,4641,7,5,96,2
88,688178,5517,7,5,96,2
88,719455,4632,7,5,96,2
88,647778,4904,7,5,96,2
88,714091,6082,7,5,96,2
89,730909,5610,7,5,97,2
89,662553,4780,7,5,97,2
89,693452,6036,7,5,97,2
89,785971,5964,7,5,97,2
89,715359,6121,7,5,97,2
90,644791,8596,7,5,98,2
90,716048,6241,7,5,98,2
90,749056,5384,7,5,98,2
90,681864,5333,7,5,98,2
90,748028,4957,7,5,98,2
91,798738,5425,7,5,99,2
91,699264,4614,7,5,99,2
91,630474,4461,7,5,99,2
91,640495,5004,7,5,99,2
91,654996,5012,7,5,99,2
92,740700,5581,7,5,100,2
92,737752,5797,7,5,100,2
92,754259,6368,7,5,100,2
92,761343,17670,7,5,100,2
92,687811,4634,7,5,100,2
93,778566,5783,7,5,101,2
93,794822,4626,7,5,101,2
93,762673,5597,7,5,101,2
93,723398,5555,7,5,101,2
93,800697,5447,7,5,101,2
94,845141,5928,7,5,102,2
94,773261,5010,7,5,102,2
94,710860,4800,7,5,102,2
94,646394,4759,7,5,102,2
94,774883,4638,7,5,102,2
95,835485,4628,7,5,103,2
95,688959,4665,7,5,103,2
95,653195,4949,7,5,103,2
95,790305,4988,7,5,103,2
95,770057,5427,7,5,103,2
96,754607,5767,7,5,104,2
96,749649,4879,7,5,104,2
96,656713,7543,7,5,104,2
96,812556,5700,7,5,104,2
96,775077,5389,7,5,104,2
97,752226,5956,7,5,105,2
97,772096,5599,7,5,105,2
97,813614,4749,7,5,105,2
97,663186,5488,7,5,105,2
97,677191,4852,7,5,105,2
98,774777,4733,7,5,106,2
98,722016,5163,7,5,106,2
98,784175,5641,7,5,106,2
98,790062,5191,7,5,106,2
98,730265,5571,7,5,106,2
99,872993,5785,7,5,107,2
99,821635,6384,7,5,107,2
99,789782,5869,7,5,107,2
99,788261,5641,7,5,107,2
99,869871,6458,7,5,107,2
100,853993,5399,7,5,108,2
100,842671,5434,7,5,108,2
100,784404,5528,7,5,108,2
100,827169,7113,7,5,108,2
100,842021,5457,7,5,108,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    175.4
    + s    6.266
              µs

Reads = 7 + (0 * s)
Writes = 8 + (1 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    0     186.2      0.49    0.2%
    1     180.5     15.91    8.8%
    2     199.8     7.423    3.7%
    3     187.2     11.97    6.3%
    4     198.1     4.199    2.1%
    5     212.5     3.774    1.7%
    6     217.5     5.215    2.3%
    7       216      6.08    2.8%
    8     204.3     13.99    6.8%
    9     221.3     12.33    5.5%
   10     236.9     2.152    0.9%
   11     251.6     10.68    4.2%
   12     238.6     15.38    6.4%
   13     257.4     0.781    0.3%
   14     255.2     8.398    3.2%
   15     283.4      21.3    7.5%
   16     272.1      3.56    1.3%
   17     268.4     17.83    6.6%
   18     275.5     17.51    6.3%
   19     281.8     2.523    0.8%
   20     258.6     1.187    0.4%
   21     303.7     2.402    0.7%
   22     301.3     13.79    4.5%
   23     300.9     20.27    6.7%
   24     322.6      0.73    0.2%
   25     335.7     7.181    2.1%
   26       366     20.86    5.6%
   27     339.5     5.843    1.7%
   28     356.6     8.397    2.3%
   29     355.5     4.677    1.3%
   30     356.5     31.95    8.9%
   31     367.5     0.543    0.1%
   32       371     2.815    0.7%
   33     371.8     14.88    4.0%
   34     384.8     1.137    0.2%
   35       396     6.269    1.5%
   36     388.1     33.25    8.5%
   37     423.5     15.31    3.6%
   38     412.2     2.008    0.4%
   39     422.2     2.626    0.6%
   40     439.8     8.631    1.9%
   41     430.3     1.295    0.3%
   42     444.5     6.485    1.4%
   43     458.4     21.38    4.6%
   44     456.6     8.707    1.9%
   45       473      1.89    0.3%
   46     512.9     4.522    0.8%
   47     470.1     5.545    1.1%
   48     467.9     4.563    0.9%
   49     495.5     2.196    0.4%
   50     504.4     9.779    1.9%
   51     527.3     23.34    4.4%
   52     541.3     15.56    2.8%
   53       555     4.568    0.8%
   54     536.9     11.35    2.1%
   55     567.2     16.21    2.8%
   56     556.2      24.1    4.3%
   57       574     18.31    3.1%
   58     579.4     24.93    4.3%
   59     590.9     8.516    1.4%
   60     575.8     25.74    4.4%
   61       566     10.48    1.8%
   62       608     29.01    4.7%
   63     609.8     10.25    1.6%
   64     587.3      22.3    3.7%
   65     623.9     22.36    3.5%
   66     631.2      19.5    3.0%
   67     644.5     26.15    4.0%
   68     657.6     8.144    1.2%
   69     639.8     18.62    2.9%
   70     632.2     27.85    4.4%
   71     625.1     12.56    2.0%
   72     686.4     8.158    1.1%
   73     615.8     10.96    1.7%
   74     649.7      10.8    1.6%
   75     605.8     27.66    4.5%
   76     677.1     43.38    6.4%
   77     694.8     35.67    5.1%
   78     633.8     18.21    2.8%
   79     666.2     4.004    0.6%
   80     722.6     19.03    2.6%
   81     648.7     15.05    2.3%
   82     630.7     21.44    3.3%
   83     647.4     32.61    5.0%
   84     657.3     50.79    7.7%
   85     616.2      12.7    2.0%
   86     612.7      5.42    0.8%
   87     662.6     32.36    4.8%
   88     683.3     27.28    3.9%
   89     713.2     15.36    2.1%
   90     715.3     27.01    3.7%
   91     664.9     24.99    3.7%
   92     744.2     7.188    0.9%
   93     778.6     13.12    1.6%
   94       753      29.8    3.9%
   95     749.7     43.78    5.8%
   96     759.7        11    1.4%
   97     733.8     40.86    5.5%
   98       763     23.51    3.0%
   99       827     32.92    3.9%
  100     837.2     7.159    0.8%

Quality and confidence:
param     error
s          0.07

Model:
Time ~=    183.2
    + s    6.141
              µs

Reads = 7 + (0 * s)
Writes = 8 + (1 * s)
