Pallet: "pallet_staking", Extrinsic: "withdraw_unbonded_update", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
98,120288,4838,5,5,3,2
98,123067,4832,5,5,3,2
99,118731,5187,5,5,3,2
99,119413,5057,5,5,3,2
99,120090,5114,5,5,3,2
99,141530,5074,5,5,3,2
99,103666,5021,5,5,3,2
100,102918,4397,5,5,3,2
100,120804,5125,5,5,3,2
100,133263,5602,5,5,3,2
100,134033,5030,5,5,3,2
100,134726,5327,5,5,3,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    110.2
    + s      0.1
              µs

Reads = 5 + (0 * s)
Writes = 3 + (0 * s)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    s   mean µs  sigma µs       %
    0     110.3      0.35    0.3%
    1     110.5     0.098    0.0%
    2     109.7     0.677    0.6%
    3       105     6.888    6.5%
    4       112     1.481    1.3%
    5     108.4     9.246    8.5%
    6     110.6     0.687    0.6%
    7     111.6     0.097    0.0%
    8     111.2     0.652    0.5%
    9     111.3     0.748    0.6%
   10     110.1     11.25   10.2%
   11     115.5     5.358    4.6%
   12     111.6     0.403    0.3%
   13     112.1     0.084    0.0%
   14     101.6     6.848    6.7%
   15     115.2     5.913    5.1%
   16     116.9     5.294    4.5%
   17     111.1     0.904    0.8%
   18     115.3     5.101    4.4%
   19     111.7      0.75    0.6%
   20     108.5     7.773    7.1%
   21     106.7     7.018    6.5%
   22     110.5     9.075    8.2%
   23     106.5     5.332    5.0%
   24     101.1     6.889    6.8%
   25     104.6     6.247    5.9%
   26     119.9     5.903    4.9%
   27     116.9     5.054    4.3%
   28     117.6     6.064    5.1%
   29     111.2     9.427    8.4%
   30     103.5     6.506    6.2%
   31     121.5     2.448    2.0%
   32     118.4     4.212    3.5%
   33     112.6      0.64    0.5%
   34     114.3     0.482    0.4%
   35       110     5.378    4.8%
   36       114     0.696    0.6%
   37     114.6     0.859    0.7%
   38     108.5     6.499    5.9%
   39     117.7     6.055    5.1%
   40     106.7     6.434    6.0%
   41     104.6     7.215    6.8%
   42     103.9     8.224    7.9%
   43     105.9     5.365    5.0%
   44     104.4     6.782    6.4%
   45     105.5     6.211    5.8%
   46     108.1     5.157    4.7%
   47     99.55     1.087    1.0%
   48     111.9     8.671    7.7%
   49     110.2     7.289    6.6%
   50     114.9     0.956    0.8%
   51     108.1     6.058    5.5%
   52     100.1      0.91    0.9%
   53     112.3     8.535    7.5%
   54     111.9     5.667    5.0%
   55     115.1     0.343    0.2%
   56     119.5     5.646    4.7%
   57     129.6     0.688    0.5%
   58     126.1     6.593    5.2%
   59     123.9     3.125    2.5%
   60       118      2.34    1.9%
   61     122.2      6.67    5.4%
   62     118.7     1.238    1.0%
   63     115.9     0.207    0.1%
   64     109.2     10.25    9.3%
   65     109.4     6.322    5.7%
   66     119.8     4.023    3.3%
   67     119.2     2.996    2.5%
   68     130.3     0.963    0.7%
   69     126.1     6.869    5.4%
   70     112.2     6.594    5.8%
   71     120.6     13.73   11.3%
   72       113     15.27   13.5%
   73     128.7     9.447    7.3%
   74     125.4     5.216    4.1%
   75     126.6     5.284    4.1%
   76     106.8     7.566    7.0%
   77     120.2     0.437    0.3%
   78     119.5     0.961    0.8%
   79     103.5     3.602    3.4%
   80     113.5     7.512    6.6%
   81     103.9     1.451    1.3%
   82     107.4     7.034    6.5%
   83     112.3     7.692    6.8%
   84     122.4     2.023    1.6%
   85     121.3     4.826    3.9%
   86     117.9     0.866    0.7%
   87     105.6     4.019    3.8%
   88     117.5     11.24    9.5%
   89     102.6     0.812    0.7%
   90     120.1     1.569    1.3%
   91     118.5      11.8    9.9%
   92     117.3      9.55    8.1%
   93     120.6     0.792    0.6%
   94     119.9     0.169    0.1%
   95     103.3     0.588    0.5%
   96       127     5.265    4.1%
   97     120.3     0.259    0.2%
   98       121     0.256    0.2%
   99     119.4     0.554    0.4%
  100     129.3     6.062    4.6%

Quality and confidence:
param     error
s         0.017

Model:
Time ~=    108.9
    + s    0.097
              µs

Reads = 5 + (0 * s)
Writes = 3 + (0 * s)
