Pallet: "pallet_capital_distribution", Extrinsic: "push_benefit", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1000,400,1299463,7733,32,23,11,2
1000,400,1154239,6891,32,23,11,2
1000,420,1237513,7906,32,23,11,2
1000,420,1231559,7234,32,23,11,2
1000,420,1356901,7472,32,23,11,2
1000,420,1396963,7041,32,23,11,2
1000,420,1303072,7339,32,23,11,2
1000,440,1315116,7521,32,23,11,2
1000,440,1387731,7504,32,23,11,2
1000,440,1400788,7282,32,23,11,2
1000,440,1424586,7996,32,23,11,2
1000,440,1165577,7433,32,23,11,2
1000,460,1434249,8207,32,23,11,2
1000,460,1165865,7266,32,23,11,2
1000,460,1367474,27918,32,23,11,2
1000,460,1283776,7759,32,23,11,2
1000,460,1181423,7516,32,23,11,2
1000,480,1228307,7973,32,23,11,2
1000,480,1283294,6739,32,23,11,2
1000,480,1406620,7948,32,23,11,2
1000,480,1438346,7917,32,23,11,2
1000,480,1188615,6790,32,23,11,2
1000,500,1309630,7660,32,23,11,2
1000,500,1381351,7838,32,23,11,2
1000,500,1235455,7291,32,23,11,2
1000,500,1360041,7613,32,23,11,2
1000,500,1411101,7400,32,23,11,2
1000,520,1456225,7827,32,23,11,2
1000,520,1335321,8490,32,23,11,2
1000,520,1293656,7403,32,23,11,2
1000,520,1278991,7600,32,23,11,2
1000,520,1320735,7597,32,23,11,2
1000,540,1404772,7821,32,23,11,2
1000,540,1357902,7825,32,23,11,2
1000,540,1391742,7546,32,23,11,2
1000,540,1328485,7272,32,23,11,2
1000,540,1429769,7060,32,23,11,2
1000,560,1225985,6980,32,23,11,2
1000,560,1318030,7594,32,23,11,2
1000,560,1346423,7288,32,23,11,2
1000,560,1162018,7040,32,23,11,2
1000,560,1407988,8439,32,23,11,2
1000,580,1299107,7051,32,23,11,2
1000,580,1378672,7254,32,23,11,2
1000,580,1331122,7245,32,23,11,2
1000,580,1224562,7554,32,23,11,2
1000,580,1291525,7428,32,23,11,2
1000,600,1336604,7526,32,23,11,2
1000,600,1382574,6882,32,23,11,2
1000,600,1232383,6922,32,23,11,2
1000,600,1268320,7273,32,23,11,2
1000,600,1316664,6960,32,23,11,2
1000,620,1387979,7817,32,23,11,2
1000,620,1361966,7227,32,23,11,2
1000,620,1442349,8495,32,23,11,2
1000,620,1452470,8008,32,23,11,2
1000,620,1501248,7110,32,23,11,2
1000,640,1327611,7786,32,23,11,2
1000,640,1222704,7876,32,23,11,2
1000,640,1366720,7381,32,23,11,2
1000,640,1308864,10574,32,23,11,2
1000,640,1327598,8180,32,23,11,2
1000,660,1333740,7450,32,23,11,2
1000,660,1368202,7828,32,23,11,2
1000,660,1304671,7211,32,23,11,2
1000,660,1438404,8058,32,23,11,2
1000,660,1444461,8080,32,23,11,2
1000,680,1355534,7656,32,23,11,2
1000,680,1250224,7628,32,23,11,2
1000,680,1426563,7861,32,23,11,2
1000,680,1209538,7270,32,23,11,2
1000,680,1313577,7171,32,23,11,2
1000,700,1425154,8202,32,23,11,2
1000,700,1194156,6985,32,23,11,2
1000,700,1300357,7394,32,23,11,2
1000,700,1258424,7635,32,23,11,2
1000,700,1342615,7767,32,23,11,2
1000,720,1255741,7129,32,23,11,2
1000,720,1199068,7277,32,23,11,2
1000,720,1401499,24455,32,23,11,2
1000,720,1377023,7473,32,23,11,2
1000,720,1299712,8030,32,23,11,2
1000,740,1329257,7644,32,23,11,2
1000,740,1242289,7887,32,23,11,2
1000,740,1279266,7854,32,23,11,2
1000,740,1484191,8385,32,23,11,2
1000,740,1359901,7454,32,23,11,2
1000,760,1226920,8284,32,23,11,2
1000,760,1257287,6908,32,23,11,2
1000,760,1273003,7024,32,23,11,2
1000,760,1240136,7439,32,23,11,2
1000,760,1257254,7339,32,23,11,2
1000,780,1327784,7309,32,23,11,2
1000,780,1300826,7427,32,23,11,2
1000,780,1248648,7548,32,23,11,2
1000,780,1264167,7736,32,23,11,2
1000,780,1246631,7295,32,23,11,2
1000,800,1469693,8057,32,23,11,2
1000,800,1391208,8179,32,23,11,2
1000,800,1215367,6636,32,23,11,2
1000,800,1278462,7035,32,23,11,2
1000,800,1374637,7971,32,23,11,2
1000,820,1321306,7676,32,23,11,2
1000,820,1362925,7169,32,23,11,2
1000,820,1320256,7480,32,23,11,2
1000,820,1231308,6888,32,23,11,2
1000,820,1388009,7361,32,23,11,2
1000,840,1457371,7087,32,23,11,2
1000,840,1406267,7170,32,23,11,2
1000,840,1400517,7493,32,23,11,2
1000,840,1363491,7497,32,23,11,2
1000,840,1412177,7934,32,23,11,2
1000,860,1271740,6940,32,23,11,2
1000,860,1468455,7768,32,23,11,2
1000,860,1400443,7653,32,23,11,2
1000,860,1313898,8371,32,23,11,2
1000,860,1370048,7763,32,23,11,2
1000,880,1308232,7390,32,23,11,2
1000,880,1326925,7305,32,23,11,2
1000,880,1346592,7207,32,23,11,2
1000,880,1322589,7112,32,23,11,2
1000,880,1364768,6802,32,23,11,2
1000,900,1469751,7878,32,23,11,2
1000,900,1317764,7147,32,23,11,2
1000,900,1441696,7811,32,23,11,2
1000,900,1218983,8392,32,23,11,2
1000,900,1322092,7737,32,23,11,2
1000,920,1273115,7412,32,23,11,2
1000,920,1509401,8065,32,23,11,2
1000,920,1334459,6968,32,23,11,2
1000,920,1323175,7442,32,23,11,2
1000,920,1297534,7395,32,23,11,2
1000,940,1375860,7457,32,23,11,2
1000,940,1294866,8566,32,23,11,2
1000,940,1546340,8290,32,23,11,2
1000,940,1531799,7507,32,23,11,2
1000,940,1355370,7127,32,23,11,2
1000,960,1365762,7685,32,23,11,2
1000,960,1544935,8737,32,23,11,2
1000,960,1372994,7703,32,23,11,2
1000,960,1307182,7055,32,23,11,2
1000,960,1386024,24624,32,23,11,2
1000,980,1409854,7028,32,23,11,2
1000,980,1555404,7475,32,23,11,2
1000,980,1287506,7160,32,23,11,2
1000,980,1308184,7271,32,23,11,2
1000,980,1339969,7403,32,23,11,2
1000,1000,1488521,7138,32,23,11,2
1000,1000,1317777,7375,32,23,11,2
1000,1000,1263267,6965,32,23,11,2
1000,1000,1323128,7450,32,23,11,2
1000,1000,1450403,20210,32,23,11,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    757.4
    + t    0.491
    + w    0.177
              µs

Reads = 32 + (0 * t) + (0 * w)
Writes = 11 + (0 * t) + (0 * w)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    t     w   mean µs  sigma µs       %
    0  1000       970     12.88    1.3%
   20  1000     951.4     28.35    2.9%
   40  1000     961.1     29.16    3.0%
   60  1000     995.7     19.65    1.9%
   80  1000      1030     44.81    4.3%
  100  1000     974.3     36.28    3.7%
  120  1000     991.2     10.62    1.0%
  140  1000      1045      25.4    2.4%
  160  1000     949.3     6.329    0.6%
  180  1000     996.5      28.2    2.8%
  200  1000      1032     29.08    2.8%
  220  1000      1014     44.12    4.3%
  240  1000      1134     59.99    5.2%
  260  1000      1085     37.17    3.4%
  280  1000      1079     44.83    4.1%
  300  1000      1115     71.14    6.3%
  320  1000      1059     39.49    3.7%
  340  1000      1056     22.93    2.1%
  360  1000      1020     11.93    1.1%
