Pallet: "pallet_pips", Extrinsic: "enact_snapshot_results", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,r,s,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
33,33,1,692198304,33141,14141,16532,14137,2
33,33,1,704908694,22559,14141,16532,14137,2
33,33,1,723418292,21267,14141,16532,14137,2
33,33,1,719028121,24491,14141,16532,14137,2
33,33,1,715211862,34750,14141,16532,14137,2
33,33,2,680251536,22926,14142,16534,14138,2
33,33,2,706304312,30000,14142,16534,14138,2
33,33,2,712860723,20736,14142,16534,14138,2
33,33,2,698429205,21465,14142,16534,14138,2
33,33,2,703681385,20595,14142,16534,14138,2
33,33,3,697511459,21591,14143,16536,14139,2
33,33,3,740230527,22552,14143,16536,14139,2
33,33,3,703697525,22995,14143,16536,14139,2
33,33,3,697678403,20829,14143,16536,14139,2
33,33,3,704292898,21576,14143,16536,14139,2
33,33,4,690065622,25241,14144,16538,14140,2
33,33,4,677823177,22963,14144,16538,14140,2
33,33,4,700058816,26304,14144,16538,14140,2
33,33,4,703267569,23341,14144,16538,14140,2
33,33,4,723036587,22557,14144,16538,14140,2
33,33,5,684825963,36558,14145,16540,14141,2
33,33,5,696668096,31645,14145,16540,14141,2
33,33,5,698033025,35619,14145,16540,14141,2
33,33,5,773886554,23387,14145,16540,14141,2
33,33,5,686136071,31595,14145,16540,14141,2
33,33,6,671069812,21438,14146,16142,14142,2
33,33,6,685738712,21934,14146,16142,14142,2
33,33,6,701583451,21383,14146,16142,14142,2
33,33,6,683824003,21797,14146,16142,14142,2
33,33,6,687487111,20904,14146,16142,14142,2
33,33,7,692056944,19371,14147,16544,14143,2
33,33,7,684100627,21435,14147,16544,14143,2
33,33,7,720179691,23091,14147,16544,14143,2
33,33,7,693858908,24802,14147,16544,14143,2
33,33,7,685889965,24143,14147,16544,14143,2
33,33,8,710824962,24958,14148,16546,14144,2
33,33,8,740123531,23606,14148,16546,14144,2
33,33,8,688200495,23424,14148,16546,14144,2
33,33,8,686279766,37408,14148,16546,14144,2
33,33,8,752803067,21796,14148,16546,14144,2
33,33,9,692381616,23172,14149,15348,14145,2
