Pallet: "pallet_staking", Extrinsic: "submit_solution_better", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1460,2000,500,100,100968577,12477,2106,16406,2,2
1470,2000,500,100,93882913,11956,2106,16406,2,2
1470,2000,500,100,93257426,10888,2106,16406,2,2
1470,2000,500,100,94151380,10984,2106,16406,2,2
1470,2000,500,100,94618667,11344,2106,16406,2,2
1470,2000,500,100,95179346,13570,2106,16406,2,2
1480,2000,500,100,95169643,12763,2106,16406,2,2
1480,2000,500,100,97728979,12043,2106,16406,2,2
1480,2000,500,100,93401620,17868,2106,16406,2,2
1480,2000,500,100,94662212,12635,2106,16406,2,2
1480,2000,500,100,102609845,11259,2106,16406,2,2
1490,2000,500,100,96718557,11912,2106,16406,2,2
1490,2000,500,100,105885245,10714,2106,16406,2,2
1490,2000,500,100,97047488,11507,2106,16406,2,2
1490,2000,500,100,97152076,12058,2106,16406,2,2
1490,2000,500,100,100121402,10904,2106,16406,2,2
1500,2000,500,100,97589954,13078,2106,16406,2,2
1500,2000,500,100,107148054,12736,2106,16406,2,2
1500,2000,500,100,94213230,12571,2106,16406,2,2
1500,2000,500,100,98047925,11442,2106,16406,2,2
1500,2000,500,100,93507181,11707,2106,16406,2,2
1510,2000,500,100,95361448,13683,2106,16406,2,2
1510,2000,500,100,96116319,24842,2106,16406,2,2
1510,2000,500,100,98947169,11113,2106,16406,2,2
1510,2000,500,100,94099414,14059,2106,16406,2,2
1510,2000,500,100,97553977,13060,2106,16406,2,2
1520,2000,500,100,93551115,11173,2106,16406,2,2
1520,2000,500,100,95648568,13003,2106,16406,2,2
1520,2000,500,100,96910326,10928,2106,16406,2,2
1520,2000,500,100,98513285,12992,2106,16406,2,2
1520,2000,500,100,92598719,12299,2106,16406,2,2
1530,2000,500,100,94761671,10779,2106,16406,2,2
1530,2000,500,100,95626464,11749,2106,16406,2,2
1530,2000,500,100,101308863,16322,2106,16406,2,2
1530,2000,500,100,95423090,13284,2106,16406,2,2
1530,2000,500,100,100361901,11270,2106,16406,2,2
1540,2000,500,100,96814353,10567,2106,16406,2,2
1540,2000,500,100,96467122,10969,2106,16406,2,2
1540,2000,500,100,93406566,11278,2106,16406,2,2
1540,2000,500,100,97576736,11579,2106,16406,2,2
1540,2000,500,100,98580988,11194,2106,16406,2,2
1550,2000,500,100,95386975,12318,2106,16406,2,2
1550,2000,500,100,96012310,9718,2106,16406,2,2
1550,2000,500,100,96596724,10489,2106,16406,2,2
1550,2000,500,100,94333537,11605,2106,16406,2,2
1550,2000,500,100,95208942,12352,2106,16406,2,2
1560,2000,500,100,98584589,14756,2106,16406,2,2
1560,2000,500,100,96899268,12631,2106,16406,2,2
1560,2000,500,100,98892794,11385,2106,16406,2,2
1560,2000,500,100,100565103,11327,2106,16406,2,2
1560,2000,500,100,99603656,11204,2106,16406,2,2
1570,2000,500,100,97776468,12537,2106,16406,2,2
1570,2000,500,100,98341356,20883,2106,16406,2,2
1570,2000,500,100,94066320,22992,2106,16406,2,2
1570,2000,500,100,96946856,10704,2106,16406,2,2
1570,2000,500,100,100369843,25344,2106,16406,2,2
1580,2000,500,100,99128890,12317,2106,16406,2,2
1580,2000,500,100,131197750,18792,2106,16406,2,2
1580,2000,500,100,99869871,12576,2106,16406,2,2
1580,2000,500,100,97316022,11619,2106,16406,2,2
1580,2000,500,100,95244247,11897,2106,16406,2,2
1590,2000,500,100,99417196,13118,2106,16406,2,2
1590,2000,500,100,94832065,11983,2106,16406,2,2
1590,2000,500,100,102749213,10486,2106,16406,2,2
1590,2000,500,100,112422717,12319,2106,16406,2,2
1590,2000,500,100,94967471,10929,2106,16406,2,2
1600,2000,500,100,93129787,11970,2106,16406,2,2
1600,2000,500,100,98536899,13414,2106,16406,2,2
1600,2000,500,100,98956927,12316,2106,16406,2,2
1600,2000,500,100,98447523,11142,2106,16406,2,2
1600,2000,500,100,101137666,12045,2106,16406,2,2
1610,2000,500,100,98947665,15382,2106,16406,2,2
1610,2000,500,100,95876533,12879,2106,16406,2,2
1610,2000,500,100,97467825,12623,2106,16406,2,2
1610,2000,500,100,95302301,11730,2106,16406,2,2
1610,2000,500,100,102407265,12828,2106,16406,2,2
1620,2000,500,100,102189946,13224,2106,16406,2,2
1620,2000,500,100,94868566,11449,2106,16406,2,2
1620,2000,500,100,96689797,11188,2106,16406,2,2
1620,2000,500,100,94618624,11263,2106,16406,2,2
1620,2000,500,100,93598568,11824,2106,16406,2,2
1630,2000,500,100,95496848,12942,2106,16406,2,2
1630,2000,500,100,99693442,12295,2106,16406,2,2
1630,2000,500,100,96884711,11949,2106,16406,2,2
1630,2000,500,100,97410100,10537,2106,16406,2,2
