Pallet: "pallet_asset", Extrinsic: "create_asset", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
n,i,f,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1024,101,1024,119054,2226,22,23,11,2
1024,106,1024,118597,2290,22,23,11,2
1024,106,1024,118708,2337,22,23,11,2
1024,106,1024,118857,2218,22,23,11,2
1024,106,1024,118270,2312,22,23,11,2
1024,106,1024,118062,2246,22,23,11,2
1024,111,1024,119166,2339,22,23,11,2
1024,111,1024,119127,2315,22,23,11,2
1024,111,1024,118899,2331,22,23,11,2
1024,111,1024,119093,2289,22,23,11,2
1024,111,1024,121999,2271,22,23,11,2
1024,116,1024,119402,2293,22,23,11,2
1024,116,1024,119726,2301,22,23,11,2
1024,116,1024,119619,2197,22,23,11,2
1024,116,1024,118829,2180,22,23,11,2
1024,116,1024,118717,2224,22,23,11,2
1024,121,1024,119006,2250,22,23,11,2
1024,121,1024,119728,2262,22,23,11,2
1024,121,1024,120338,2263,22,23,11,2
1024,121,1024,118563,2294,22,23,11,2
1024,121,1024,119103,2266,22,23,11,2
1024,126,1024,119085,2330,22,23,11,2
