Pallet: "pallet_staking", Extrinsic: "set_commission_cap", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
m,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
146,3126436,8428,149,298,148,2
146,3362014,8829,149,298,148,2
146,2999975,7839,149,298,148,2
147,3336461,7599,150,300,149,2
147,3159442,7422,150,300,149,2
147,3373565,8688,150,300,149,2
147,3069253,7681,150,300,149,2
147,3259305,8746,150,300,149,2
148,3359131,8697,151,302,150,2
148,3538632,8668,151,302,150,2
148,3288880,8541,151,302,150,2
148,3447802,7558,151,302,150,2
148,3309448,9587,151,302,150,2
149,3326771,7868,152,304,151,2
149,3391597,7992,152,304,151,2
149,3449997,8148,152,304,151,2
149,3585126,8862,152,304,151,2
149,3580234,8986,152,304,151,2
150,3394036,8754,153,306,152,2
150,3595217,8349,153,306,152,2
150,3786784,8655,153,306,152,2
150,3369616,9150,153,306,152,2
150,3363038,8141,153,306,152,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    94.82
    + m    22.19
              µs

Reads = 3 + (1 * m)
Writes = 2 + (1 * m)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    m   mean µs  sigma µs       %
    0     70.83     0.066    0.0%
    1     101.2     4.924    4.8%
    2     122.3      8.05    6.5%
    3     146.6     3.378    2.3%
    4     165.3      15.7    9.4%
    5     199.2     1.875    0.9%
    6     203.7     12.37    6.0%
    7     252.7     10.25    4.0%
    8     265.1       6.3    2.3%
    9     258.7     12.99    5.0%
   10     271.8      1.97    0.7%
   11     341.7     12.06    3.5%
   12     328.3     25.83    7.8%
   13     344.1     24.09    7.0%
   14     363.5     14.01    3.8%
   15     388.7     8.914    2.2%
   16     422.2     16.66    3.9%
   17     492.4     14.38    2.9%
   18     529.4      17.3    3.2%
   19       534     8.213    1.5%
   20     562.1     5.775    1.0%
   21       558     21.85    3.9%
   22       615     11.69    1.9%
   23     643.4     23.38    3.6%
   24     649.4     33.82    5.2%
   25     609.5     42.44    6.9%
   26     626.4     50.28    8.0%
   27     665.6     36.29    5.4%
   28     740.9     43.14    5.8%
   29     759.2     48.17    6.3%
   30     770.2     25.16    3.2%
   31     838.6     24.56    2.9%
