Pallet: "pallet_portfolio", Extrinsic: "move_portfolio_funds", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
a,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
253,3550278,2680,767,765,506,2
253,3535396,2760,767,765,506,2
257,3518535,2788,779,777,514,2
257,3510886,2753,779,777,514,2
257,3504142,2793,779,777,514,2
257,3533870,2828,779,777,514,2
257,3512281,2750,779,777,514,2
261,3630697,2773,791,789,522,2
261,3658321,2662,791,789,522,2
261,3637366,2675,791,789,522,2
261,3639523,2765,791,789,522,2
261,3620827,2733,791,789,522,2
265,3701479,2791,803,801,530,2
265,3681653,2732,803,801,530,2
265,3688417,2725,803,801,530,2
265,3692755,2713,803,801,530,2
265,3667474,2803,803,801,530,2
269,3742007,2773,815,813,538,2
269,3754510,2674,815,813,538,2
269,3759082,2663,815,813,538,2
269,3721438,2709,815,813,538,2
269,3771022,2733,815,813,538,2
273,3763656,2713,827,825,546,2
273,3749702,2668,827,825,546,2
273,3745730,2801,827,825,546,2
273,3757825,2674,827,825,546,2
273,3723355,2773,827,825,546,2
277,3866437,2623,839,837,554,2
277,3878498,2708,839,837,554,2
277,3872821,2682,839,837,554,2
277,3884273,2645,839,837,554,2
277,3876419,2741,839,837,554,2
281,3870914,2732,851,849,562,2
281,3855482,2711,851,849,562,2
281,3909267,2727,851,849,562,2
281,3879068,2766,851,849,562,2
281,3905887,2719,851,849,562,2
285,4025077,2815,863,861,570,2
285,3997310,2758,863,861,570,2
285,3978038,2773,863,861,570,2
285,4095955,3009,863,861,570,2
285,4031529,2755,863,861,570,2
289,4074719,2801,875,873,578,2
289,4078376,2705,875,873,578,2
289,4036542,2772,875,873,578,2
289,4036603,2770,875,873,578,2
289,4023928,2735,875,873,578,2
293,4114143,2679,887,885,586,2
293,4110647,2646,887,885,586,2
293,4099698,2658,887,885,586,2
293,4093096,2661,887,885,586,2
293,4137589,2626,887,885,586,2
297,4241735,2718,899,897,594,2
297,4230606,2690,899,897,594,2
297,4265953,2771,899,897,594,2
297,4237721,2696,899,897,594,2
297,4222476,2655,899,897,594,2
301,4298778,2909,911,909,602,2
301,4313841,2691,911,909,602,2
301,4335941,2892,911,909,602,2
