Pallet: "pallet_staking", Extrinsic: "submit_solution_initial", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
v,n,a,w,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
1440,2000,500,100,102343321,12163,2106,16406,2,2
1450,2000,500,100,104269990,14475,2106,16406,2,2
1450,2000,500,100,107029983,12941,2106,16406,2,2
1450,2000,500,100,97613943,11382,2106,16406,2,2
1450,2000,500,100,99997650,11598,2106,16406,2,2
1450,2000,500,100,113303738,16000,2106,16406,2,2
1460,2000,500,100,100418023,12827,2106,16406,2,2
1460,2000,500,100,97404871,13376,2106,16406,2,2
1460,2000,500,100,101820424,11913,2106,16406,2,2
1460,2000,500,100,103061631,13697,2106,16406,2,2
1460,2000,500,100,103493220,12061,2106,16406,2,2
1470,2000,500,100,98193793,13471,2106,16406,2,2
1470,2000,500,100,100838927,11941,2106,16406,2,2
1470,2000,500,100,108686445,15105,2106,16406,2,2
1470,2000,500,100,99933911,12723,2106,16406,2,2
1470,2000,500,100,104834843,14803,2106,16406,2,2
1480,2000,500,100,100907308,20595,2106,16406,2,2
1480,2000,500,100,101633659,22568,2106,16406,2,2
1480,2000,500,100,101857880,13076,2106,16406,2,2
1480,2000,500,100,101860851,13796,2106,16406,2,2
1480,2000,500,100,101682240,11912,2106,16406,2,2
1490,2000,500,100,98825371,13294,2106,16406,2,2
1490,2000,500,100,98650579,11623,2106,16406,2,2
1490,2000,500,100,105344013,14291,2106,16406,2,2
1490,2000,500,100,101668573,12742,2106,16406,2,2
1490,2000,500,100,108042318,15554,2106,16406,2,2
1500,2000,500,100,99495769,11791,2106,16406,2,2
1500,2000,500,100,102470035,13459,2106,16406,2,2
1500,2000,500,100,107732357,13401,2106,16406,2,2
1500,2000,500,100,99100073,11119,2106,16406,2,2
1500,2000,500,100,99738625,12358,2106,16406,2,2
1510,2000,500,100,102780263,11556,2106,16406,2,2
1510,2000,500,100,102238185,12566,2106,16406,2,2
1510,2000,500,100,102837126,20596,2106,16406,2,2
1510,2000,500,100,98536647,10909,2106,16406,2,2
1510,2000,500,100,101547784,21271,2106,16406,2,2
1520,2000,500,100,101499216,11264,2106,16406,2,2
1520,2000,500,100,100017746,10760,2106,16406,2,2
1520,2000,500,100,103464787,28923,2106,16406,2,2
1520,2000,500,100,99562812,12627,2106,16406,2,2
1520,2000,500,100,102108436,11978,2106,16406,2,2
