Pallet: "pallet_statistics", Extrinsic: "remove_exempted_entities", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
730,5827437,9279,7,8,730,2
740,5843396,9180,7,8,740,2
740,5849014,9653,7,8,740,2
740,5593022,9370,7,8,740,2
740,5669925,8721,7,8,740,2
740,6138359,9310,7,8,740,2
750,6220089,10648,7,8,750,2
750,6173826,9251,7,8,750,2
750,6414217,9117,7,8,750,2
750,5936334,8942,7,8,750,2
750,5477490,7054,7,8,750,2
760,5652590,7578,7,8,760,2
760,5891730,7192,7,8,760,2
760,5679811,7591,7,8,760,2
760,5907087,10577,7,8,760,2
760,6226537,9125,7,8,760,2
770,5900884,9746,7,8,770,2
770,6025833,10356,7,8,770,2
770,6008899,10200,7,8,770,2
770,6118367,8861,7,8,770,2
770,6351864,9679,7,8,770,2
780,6609718,9838,7,8,780,2
780,5884824,8679,7,8,780,2
780,12292042,9379,7,8,780,2
780,15943378,8786,7,8,780,2
780,6256099,9747,7,8,780,2
790,6548120,8504,7,8,790,2
790,6628869,7522,7,8,790,2
790,6384129,7798,7,8,790,2
790,6047883,9021,7,8,790,2
790,6568059,8767,7,8,790,2
800,6693016,10045,7,8,800,2
800,6224533,7586,7,8,800,2
800,6719069,7488,7,8,800,2
800,6701155,8933,7,8,800,2
800,6631091,8370,7,8,800,2
810,6495198,7954,7,8,810,2
810,6556641,8462,7,8,810,2
810,7118868,10312,7,8,810,2
810,6757434,9620,7,8,810,2
810,6356508,8744,7,8,810,2
820,6873973,10024,7,8,820,2
820,6972344,10399,7,8,820,2
820,6709709,10537,7,8,820,2
820,6823659,9670,7,8,820,2
820,6847344,9316,7,8,820,2
830,7180560,9363,7,8,830,2
830,7189520,10744,7,8,830,2
830,7202874,10633,7,8,830,2
830,6994232,9079,7,8,830,2
830,7104480,9744,7,8,830,2
840,7080967,10061,7,8,840,2
840,7041374,9660,7,8,840,2
840,6235106,9090,7,8,840,2
840,6297048,9860,7,8,840,2
840,6917444,9674,7,8,840,2
850,6409526,9043,7,8,850,2
850,6323040,7938,7,8,850,2
850,6879615,11426,7,8,850,2
850,7338979,11211,7,8,850,2
850,6927978,10804,7,8,850,2
860,6925345,10345,7,8,860,2
860,6851158,8833,7,8,860,2
860,6471962,9052,7,8,860,2
