Pallet: "pallet_portfolio", Extrinsic: "rename_portfolio", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
453,183904,4792,8,11,1,2
453,142566,4210,8,11,1,2
453,182535,5035,8,11,1,2
453,141694,4147,8,11,1,2
457,142120,4230,8,11,1,2
457,164433,4736,8,11,1,2
457,164261,4673,8,11,1,2
457,142264,4097,8,11,1,2
457,168176,4666,8,11,1,2
461,165786,4697,8,11,1,2
461,151980,4102,8,11,1,2
461,182558,4874,8,11,1,2
461,169703,4703,8,11,1,2
461,142288,4144,8,11,1,2
465,141673,4261,8,11,1,2
465,164645,4835,8,11,1,2
465,167659,5395,8,11,1,2
465,164941,4934,8,11,1,2
465,143386,4209,8,11,1,2
469,142456,4263,8,11,1,2
469,164653,4786,8,11,1,2
469,172998,4399,8,11,1,2
469,174608,5001,8,11,1,2
469,145153,5047,8,11,1,2
473,142838,4406,8,11,1,2
473,164503,4905,8,11,1,2
473,164556,4957,8,11,1,2
473,164982,4601,8,11,1,2
473,141806,4118,8,11,1,2
477,163256,4761,8,11,1,2
477,164731,4696,8,11,1,2
477,164077,4852,8,11,1,2
477,180509,4582,8,11,1,2
477,141649,4126,8,11,1,2
481,142490,4128,8,11,1,2
481,174890,4124,8,11,1,2
481,143185,4006,8,11,1,2
481,143612,4202,8,11,1,2
481,147009,4588,8,11,1,2
485,143110,4653,8,11,1,2
485,143883,4150,8,11,1,2
485,168216,4099,8,11,1,2
485,143387,4243,8,11,1,2
485,142489,4284,8,11,1,2
489,142716,4240,8,11,1,2
489,142409,4083,8,11,1,2
489,142109,4291,8,11,1,2
489,143922,4142,8,11,1,2
489,155344,4144,8,11,1,2
493,165014,4814,8,11,1,2
493,141963,4156,8,11,1,2
493,143076,4043,8,11,1,2
493,142911,4056,8,11,1,2
493,142538,3972,8,11,1,2
497,142231,3994,8,11,1,2
497,164662,4650,8,11,1,2
497,172364,4047,8,11,1,2
497,164772,4710,8,11,1,2
497,143124,4027,8,11,1,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    139.7
    + i    0.021
              µs

Reads = 8 + (0 * i)
Writes = 1 + (0 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    1     140.4     9.495    6.7%
    5     139.9     9.799    7.0%
    9     131.7     0.064    0.0%
   13     135.5      3.26    2.4%
   17     139.5      9.82    7.0%
   21     143.5     8.292    5.7%
   25     140.1     10.17    7.2%
   29     147.2     9.465    6.4%
   33     146.9     9.879    6.7%
   37     133.3     0.193    0.1%
   41     147.4     9.325    6.3%
   45     139.2     5.403    3.8%
   49     145.5     8.178    5.6%
   53     133.3      0.33    0.2%
   57     148.1     9.866    6.6%
   61     140.9     9.527    6.7%
   65     140.8     9.761    6.9%
   69     147.9     9.023    6.0%
   73     141.5     9.947    7.0%
   77     143.7     10.33    7.1%
   81       144     7.837    5.4%
   85     134.3     0.193    0.1%
   89     139.6     6.148    4.4%
   93     142.3     9.364    6.5%
   97     150.4     10.19    6.7%
  101       157     0.212    0.1%
  105     156.7     0.817    0.5%
  109     149.7     9.804    6.5%
  113     169.8     9.014    5.3%
  117     175.7     1.934    1.1%
  121     169.4     5.791    3.4%
  125     161.9     17.41   10.7%
  129     149.2     8.177    5.4%
  133     151.5     9.519    6.2%
  137     136.2     0.177    0.1%
  141     135.9      0.37    0.2%
  145       139     1.477    1.0%
  149     136.4     0.026    0.0%
  153     138.5     2.726    1.9%
  157     143.4     10.36    7.2%
  161     144.1     10.02    6.9%
  165     144.5     9.878    6.8%
  169     137.9     1.003    0.7%
  173     151.2      9.79    6.4%
  177       155     13.74    8.8%
  181     151.9     9.385    6.1%
  185     144.8     10.03    6.9%
  189       138     0.323    0.2%
  193     144.5     10.01    6.9%
  197     144.8     9.895    6.8%
  201     145.4     9.508    6.5%
  205     142.2     3.966    2.7%
  209     138.1     1.776    1.2%
  213     143.3     5.958    4.1%
  217     152.6     9.943    6.5%
  221       160     0.118    0.0%
  225     157.1     2.528    1.6%
  229     159.3     0.223    0.1%
  233     152.2     10.08    6.6%
  237     152.8     10.05    6.5%
  241     152.4     10.19    6.6%
  245     146.1     10.29    7.0%
  249     153.8     9.444    6.1%
  253     152.7     9.931    6.5%
  257     153.9     10.45    6.7%
  261     152.7        10    6.5%
  265     153.3     10.05    6.5%
  269     153.4     10.01    6.5%
  273     153.7     9.938    6.4%
