Pallet: "frame_system", Extrinsic: "remark", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
6710848,448,1968,0,0,0,0
6710848,509,1612,0,0,0,0
6815705,553,2177,0,0,0,0
6815705,595,1712,0,0,0,0
6815705,484,1796,0,0,0,0
6815705,560,1651,0,0,0,0
6815705,542,1495,0,0,0,0
6920562,514,1921,0,0,0,0
6920562,717,1785,0,0,0,0
6920562,559,1573,0,0,0,0
6920562,575,1777,0,0,0,0
6920562,864,1798,0,0,0,0
7025419,608,1906,0,0,0,0
7025419,543,1688,0,0,0,0
7025419,669,1534,0,0,0,0
7025419,547,2090,0,0,0,0
7025419,921,1650,0,0,0,0
7130276,619,2115,0,0,0,0
7130276,537,2145,0,0,0,0
7130276,548,1620,0,0,0,0
7130276,942,1765,0,0,0,0
7130276,588,1949,0,0,0,0
7235133,606,1972,0,0,0,0
7235133,560,1820,0,0,0,0
7235133,969,1649,0,0,0,0
7235133,552,1678,0,0,0,0
7235133,569,1692,0,0,0,0
7339990,612,1930,0,0,0,0
7339990,540,1710,0,0,0,0
7339990,650,1538,0,0,0,0
7339990,548,1736,0,0,0,0
7339990,563,1863,0,0,0,0
7444847,611,2246,0,0,0,0
7444847,585,1648,0,0,0,0
7444847,606,1697,0,0,0,0
7444847,604,1797,0,0,0,0
7444847,656,2235,0,0,0,0
7549704,887,2000,0,0,0,0
7549704,597,2087,0,0,0,0
7549704,541,1809,0,0,0,0
7549704,534,1953,0,0,0,0
7549704,633,2040,0,0,0,0
7654561,842,2084,0,0,0,0
7654561,786,2022,0,0,0,0
7654561,841,1749,0,0,0,0
7654561,515,1800,0,0,0,0
7654561,617,1805,0,0,0,0
7759418,689,2247,0,0,0,0
7759418,568,1736,0,0,0,0
7759418,636,1772,0,0,0,0
7759418,577,1756,0,0,0,0
7759418,561,1766,0,0,0,0
7864275,607,1991,0,0,0,0
7864275,600,1473,0,0,0,0
7864275,560,1815,0,0,0,0
7864275,623,1584,0,0,0,0
7864275,623,1758,0,0,0,0
7969132,587,1970,0,0,0,0
7969132,577,1752,0,0,0,0
7969132,611,1936,0,0,0,0
7969132,569,1571,0,0,0,0
7969132,571,2007,0,0,0,0
8073989,614,1966,0,0,0,0
8073989,568,1956,0,0,0,0
8073989,555,2030,0,0,0,0
8073989,508,1656,0,0,0,0
8073989,563,2254,0,0,0,0
8178846,646,1973,0,0,0,0
8178846,701,1661,0,0,0,0
8178846,545,2039,0,0,0,0
8178846,586,1751,0,0,0,0
8178846,524,2084,0,0,0,0
8283703,942,2002,0,0,0,0
8283703,557,1628,0,0,0,0
8283703,512,1926,0,0,0,0
8283703,552,1661,0,0,0,0
8283703,546,2222,0,0,0,0
8388560,598,2209,0,0,0,0
8388560,558,1728,0,0,0,0
8388560,549,2147,0,0,0,0
8388560,815,1562,0,0,0,0
8388560,565,2180,0,0,0,0
8493417,569,2241,0,0,0,0
8493417,653,1908,0,0,0,0
8493417,549,1909,0,0,0,0
8493417,668,1962,0,0,0,0
8493417,562,1881,0,0,0,0
8598274,594,2068,0,0,0,0
8598274,784,1645,0,0,0,0
8598274,732,1803,0,0,0,0
8598274,623,2426,0,0,0,0
8598274,627,1987,0,0,0,0
8703131,813,2291,0,0,0,0
8703131,780,1634,0,0,0,0
8703131,641,2071,0,0,0,0
8703131,907,1715,0,0,0,0
8703131,645,2001,0,0,0,0
8807988,625,2368,0,0,0,0
8807988,669,1720,0,0,0,0
8807988,593,1908,0,0,0,0
8807988,724,2157,0,0,0,0
8807988,554,1879,0,0,0,0
8912845,880,2032,0,0,0,0
8912845,971,1876,0,0,0,0
8912845,837,2654,0,0,0,0
8912845,660,1787,0,0,0,0
8912845,842,1946,0,0,0,0
9017702,641,2291,0,0,0,0
9017702,837,1882,0,0,0,0
9017702,781,1945,0,0,0,0
9017702,659,1782,0,0,0,0
9017702,700,1851,0,0,0,0
9122559,669,2118,0,0,0,0
9122559,676,1917,0,0,0,0
9122559,1028,1875,0,0,0,0
9122559,600,1878,0,0,0,0
9122559,650,1899,0,0,0,0
9227416,655,2207,0,0,0,0
9227416,722,1926,0,0,0,0
9227416,628,2117,0,0,0,0
9227416,989,2036,0,0,0,0
9227416,625,1897,0,0,0,0
9332273,673,2122,0,0,0,0
9332273,992,1972,0,0,0,0
9332273,728,1925,0,0,0,0
9332273,725,2217,0,0,0,0
9332273,903,1870,0,0,0,0
9437130,853,2300,0,0,0,0
9437130,687,2071,0,0,0,0
9437130,682,2247,0,0,0,0
9437130,742,1756,0,0,0,0
9437130,727,2270,0,0,0,0
9541987,1017,2093,0,0,0,0
9541987,602,1905,0,0,0,0
9541987,841,1915,0,0,0,0
9541987,717,2228,0,0,0,0
9541987,1134,2230,0,0,0,0
9646844,760,2469,0,0,0,0
9646844,715,2119,0,0,0,0
9646844,813,1944,0,0,0,0
9646844,1066,1973,0,0,0,0
9646844,1162,1975,0,0,0,0
9751701,746,2173,0,0,0,0
9751701,715,2039,0,0,0,0
9751701,820,2188,0,0,0,0
9751701,671,2353,0,0,0,0
9751701,801,2067,0,0,0,0
9856558,742,2891,0,0,0,0
9856558,953,1938,0,0,0,0
9856558,753,2219,0,0,0,0
9856558,1073,2276,0,0,0,0
9856558,825,2111,0,0,0,0
9961415,917,2049,0,0,0,0
9961415,1020,1926,0,0,0,0
9961415,971,2202,0,0,0,0
9961415,824,1921,0,0,0,0
9961415,636,2093,0,0,0,0
10066272,973,2105,0,0,0,0
10066272,853,1798,0,0,0,0
10066272,626,2470,0,0,0,0
10066272,941,2101,0,0,0,0
10066272,784,1872,0,0,0,0
10171129,1018,2089,0,0,0,0
10171129,1088,1992,0,0,0,0
10171129,846,2216,0,0,0,0
10171129,747,1947,0,0,0,0
10171129,874,1961,0,0,0,0
10275986,956,1989,0,0,0,0
10275986,1021,1929,0,0,0,0
10275986,735,1945,0,0,0,0
10275986,797,1938,0,0,0,0
10275986,941,1954,0,0,0,0
10380843,771,2381,0,0,0,0
10380843,868,2571,0,0,0,0
10380843,800,2314,0,0,0,0
10380843,703,2292,0,0,0,0
10380843,892,2398,0,0,0,0
10485700,719,2048,0,0,0,0
10485700,1183,2028,0,0,0,0
10485700,991,1952,0,0,0,0
10485700,710,2145,0,0,0,0
10485700,696,2026,0,0,0,0

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=     0.13
    + b        0
              µs

Reads = 0 + (0 * b)
Writes = 0 + (0 * b)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    b   mean µs  sigma µs       %
    0     0.156     0.011    7.0%
104857     0.244     0.002    0.8%
209714      0.24     0.001    0.4%
314571     0.226     0.004    1.7%
419428     0.237     0.001    0.4%
524285     0.235     0.004    1.7%
629142     0.239     0.005    2.0%
733999     0.239     0.002    0.8%
