Pallet: "frame_system", Extrinsic: "kill_storage", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
640,240148,2199,0,0,640,0
640,238417,2222,0,0,640,0
640,240835,2240,0,0,640,0
640,238912,2212,0,0,640,0
640,239492,2161,0,0,640,0
649,222594,2238,0,0,649,0
649,223425,2186,0,0,649,0
649,222467,2106,0,0,649,0
649,224231,2232,0,0,649,0
649,224813,2234,0,0,649,0
658,226707,2247,0,0,658,0
658,226294,2181,0,0,658,0
658,226935,2233,0,0,658,0
658,226845,2221,0,0,658,0
658,227481,2181,0,0,658,0
667,229328,2276,0,0,667,0
667,229625,2208,0,0,667,0
667,228529,2352,0,0,667,0
667,229172,2158,0,0,667,0
667,227769,2183,0,0,667,0
676,234060,2234,0,0,676,0
676,235645,2203,0,0,676,0
676,235699,2118,0,0,676,0
676,233452,2156,0,0,676,0
676,233303,2315,0,0,676,0
685,238622,2201,0,0,685,0
685,237126,2171,0,0,685,0
685,235307,2158,0,0,685,0
685,236192,2159,0,0,685,0
685,235800,2243,0,0,685,0
694,238824,2180,0,0,694,0
694,239364,2288,0,0,694,0
694,237898,2165,0,0,694,0
694,243084,2177,0,0,694,0
694,239119,2137,0,0,694,0
703,243489,2286,0,0,703,0
703,242984,2219,0,0,703,0
703,243075,2233,0,0,703,0
703,244927,2154,0,0,703,0
703,244097,2209,0,0,703,0
712,245978,2276,0,0,712,0
712,245617,2240,0,0,712,0
712,245904,2263,0,0,712,0
712,250151,2146,0,0,712,0
712,246302,2175,0,0,712,0
721,249316,2222,0,0,721,0
721,248687,2155,0,0,721,0
721,250351,2234,0,0,721,0
721,249216,2305,0,0,721,0
721,247705,2239,0,0,721,0
730,252364,2223,0,0,730,0
730,251513,2180,0,0,730,0
730,255817,2221,0,0,730,0
730,251505,2210,0,0,730,0
730,252945,2185,0,0,730,0
739,255038,2226,0,0,739,0
739,255730,2254,0,0,739,0
739,255820,2138,0,0,739,0
739,254848,2164,0,0,739,0
739,256290,2238,0,0,739,0
748,263281,2271,0,0,748,0
748,257830,2205,0,0,748,0
748,258606,2218,0,0,748,0
748,263025,2202,0,0,748,0
748,258853,2211,0,0,748,0
757,262870,2176,0,0,757,0
757,261271,2139,0,0,757,0
757,262186,2135,0,0,757,0
