Pallet: "pallet_protocol_fee", Extrinsic: "change_coefficient", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
n,d,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
4037269215,4294967295,35614,3473,1,4,1,2
4037269215,4294967295,35666,3429,1,4,1,2
4123168560,4294967295,35697,3600,1,4,1,2
4123168560,4294967295,35868,3304,1,4,1,2
4123168560,4294967295,32475,3214,1,4,1,2
4123168560,4294967295,32464,3144,1,4,1,2
4123168560,4294967295,32712,3118,1,4,1,2
4209067905,4294967295,32550,3183,1,4,1,2
4209067905,4294967295,32535,3169,1,4,1,2
4209067905,4294967295,32314,3241,1,4,1,2
4209067905,4294967295,32538,3125,1,4,1,2
4209067905,4294967295,32843,3117,1,4,1,2
4294967250,4294967295,32048,3256,1,4,1,2
4294967250,4294967295,32185,3146,1,4,1,2
4294967250,4294967295,32185,3133,1,4,1,2
4294967250,4294967295,32262,3128,1,4,1,2
4294967250,4294967295,32982,3141,1,4,1,2
4294967295,0,32395,3316,1,4,1,2
4294967295,0,32162,3336,1,4,1,2
4294967295,0,36900,3818,1,4,1,2
4294967295,0,57103,4059,1,4,1,2
4294967295,0,39750,4006,1,4,1,2
4294967295,85899345,39507,3893,1,4,1,2
4294967295,85899345,39299,3925,1,4,1,2
4294967295,85899345,39232,3782,1,4,1,2
4294967295,85899345,39512,3685,1,4,1,2
4294967295,85899345,39500,3770,1,4,1,2
4294967295,171798690,39305,3950,1,4,1,2
4294967295,171798690,39522,3936,1,4,1,2
4294967295,171798690,39488,3929,1,4,1,2
4294967295,171798690,40758,4021,1,4,1,2
4294967295,171798690,39486,3498,1,4,1,2
4294967295,257698035,32268,3311,1,4,1,2
4294967295,257698035,33163,3241,1,4,1,2
4294967295,257698035,32502,3243,1,4,1,2
4294967295,257698035,32682,3311,1,4,1,2
4294967295,257698035,32422,3267,1,4,1,2
4294967295,343597380,32331,3281,1,4,1,2
4294967295,343597380,33151,3302,1,4,1,2
4294967295,343597380,32739,3299,1,4,1,2
4294967295,343597380,36102,3575,1,4,1,2
4294967295,343597380,35608,3628,1,4,1,2
4294967295,429496725,35435,3600,1,4,1,2
4294967295,429496725,35440,3578,1,4,1,2
4294967295,429496725,35889,3564,1,4,1,2
4294967295,429496725,35785,3460,1,4,1,2
4294967295,429496725,55883,3819,1,4,1,2
4294967295,515396070,51205,4281,1,4,1,2
4294967295,515396070,39481,4126,1,4,1,2
4294967295,515396070,39393,3986,1,4,1,2
4294967295,515396070,39494,3899,1,4,1,2
4294967295,515396070,39531,3876,1,4,1,2
4294967295,601295415,39062,3842,1,4,1,2
4294967295,601295415,39796,3820,1,4,1,2
4294967295,601295415,39805,3513,1,4,1,2
4294967295,601295415,35701,3555,1,4,1,2
4294967295,601295415,35256,3496,1,4,1,2
4294967295,687194760,35696,3795,1,4,1,2
4294967295,687194760,36214,3622,1,4,1,2
4294967295,687194760,35843,3550,1,4,1,2
4294967295,687194760,35607,3474,1,4,1,2
4294967295,687194760,35822,3509,1,4,1,2
4294967295,773094105,35599,3581,1,4,1,2
4294967295,773094105,35669,3244,1,4,1,2
4294967295,773094105,32359,3141,1,4,1,2
4294967295,773094105,32496,3150,1,4,1,2
4294967295,773094105,32475,3104,1,4,1,2
4294967295,858993450,32411,3323,1,4,1,2
4294967295,858993450,32406,3287,1,4,1,2
4294967295,858993450,32242,3206,1,4,1,2
4294967295,858993450,32596,3262,1,4,1,2
4294967295,858993450,32512,3168,1,4,1,2
4294967295,944892795,35606,3477,1,4,1,2
4294967295,944892795,35549,3478,1,4,1,2
4294967295,944892795,35348,3371,1,4,1,2
4294967295,944892795,35306,3415,1,4,1,2
4294967295,944892795,45141,3828,1,4,1,2
4294967295,1030792140,38897,3915,1,4,1,2
4294967295,1030792140,39602,3868,1,4,1,2
4294967295,1030792140,39444,3836,1,4,1,2
4294967295,1030792140,39455,3778,1,4,1,2
4294967295,1030792140,39608,3788,1,4,1,2
4294967295,1116691485,39372,3890,1,4,1,2
4294967295,1116691485,35912,3561,1,4,1,2
4294967295,1116691485,35908,3477,1,4,1,2
4294967295,1116691485,35948,3527,1,4,1,2
4294967295,1116691485,35677,3536,1,4,1,2
4294967295,1202590830,35588,3477,1,4,1,2
4294967295,1202590830,35753,3481,1,4,1,2
4294967295,1202590830,39538,3805,1,4,1,2
4294967295,1202590830,39637,3774,1,4,1,2
4294967295,1202590830,39867,3751,1,4,1,2
4294967295,1288490175,39309,3907,1,4,1,2
4294967295,1288490175,39400,3452,1,4,1,2
4294967295,1288490175,51156,3820,1,4,1,2
4294967295,1288490175,38863,3775,1,4,1,2
4294967295,1288490175,35408,3351,1,4,1,2
4294967295,1374389520,35335,3556,1,4,1,2
4294967295,1374389520,35563,3477,1,4,1,2
4294967295,1374389520,35525,3455,1,4,1,2
4294967295,1374389520,35697,3514,1,4,1,2
4294967295,1374389520,35441,3501,1,4,1,2
4294967295,1460288865,35417,4219,1,4,1,2
4294967295,1460288865,39516,4020,1,4,1,2
4294967295,1460288865,39527,3883,1,4,1,2
4294967295,1460288865,39624,3968,1,4,1,2
4294967295,1460288865,39430,3974,1,4,1,2
4294967295,1546188210,39172,3920,1,4,1,2
4294967295,1546188210,39422,3861,1,4,1,2
4294967295,1546188210,39513,3726,1,4,1,2
4294967295,1546188210,40048,3794,1,4,1,2
4294967295,1546188210,39452,3790,1,4,1,2
4294967295,1632087555,39311,4047,1,4,1,2
4294967295,1632087555,39567,4054,1,4,1,2
4294967295,1632087555,35522,3641,1,4,1,2
4294967295,1632087555,35715,3566,1,4,1,2
4294967295,1632087555,35545,3540,1,4,1,2
4294967295,1717986900,35564,3195,1,4,1,2
4294967295,1717986900,32591,3231,1,4,1,2
4294967295,1717986900,32437,3181,1,4,1,2
4294967295,1717986900,32306,3159,1,4,1,2
