Pallet: "pallet_protocol_fee", Extrinsic: "change_base_fee", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
b,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
3822520808,39946,4180,1,4,1,2
3822520808,39614,3828,1,4,1,2
3822520808,39806,3760,1,4,1,2
3822520808,34179,3288,1,4,1,2
3822520808,34012,3144,1,4,1,2
3865470480,34080,3409,1,4,1,2
3865470480,34253,3286,1,4,1,2
3865470480,34484,3215,1,4,1,2
3865470480,34296,3182,1,4,1,2
3865470480,34127,3163,1,4,1,2
3908420152,33792,3345,1,4,1,2
3908420152,34032,3200,1,4,1,2
3908420152,53533,3856,1,4,1,2
3908420152,39997,3805,1,4,1,2
3908420152,39426,3738,1,4,1,2
3951369824,39194,4034,1,4,1,2
3951369824,39458,3785,1,4,1,2
3951369824,39635,3833,1,4,1,2
3951369824,39570,3710,1,4,1,2
3951369824,39287,3692,1,4,1,2
3994319496,39416,3776,1,4,1,2
3994319496,39757,3775,1,4,1,2
3994319496,48005,3131,1,4,1,2
3994319496,34132,3185,1,4,1,2
3994319496,34005,3157,1,4,1,2
4037269168,33716,3216,1,4,1,2
4037269168,33826,3262,1,4,1,2
4037269168,49316,3422,1,4,1,2
4037269168,34448,3294,1,4,1,2
4037269168,33940,3721,1,4,1,2
4080218840,39260,3779,1,4,1,2
4080218840,39415,3640,1,4,1,2
4080218840,39499,3753,1,4,1,2
4080218840,39205,3793,1,4,1,2
4080218840,39547,3666,1,4,1,2
4123168512,52974,3872,1,4,1,2
4123168512,39530,3770,1,4,1,2
4123168512,39547,3591,1,4,1,2
4123168512,39356,3591,1,4,1,2
4123168512,39593,3683,1,4,1,2
4166118184,39177,3959,1,4,1,2
4166118184,39555,3791,1,4,1,2
4166118184,50797,3223,1,4,1,2
4166118184,51037,3728,1,4,1,2
4166118184,39685,3300,1,4,1,2
4209067856,33979,3224,1,4,1,2
4209067856,34034,3175,1,4,1,2
4209067856,53857,3706,1,4,1,2
4209067856,39265,3644,1,4,1,2
4209067856,39394,3739,1,4,1,2
4252017528,39267,3937,1,4,1,2
4252017528,39339,3757,1,4,1,2
4252017528,40001,3694,1,4,1,2
4252017528,39731,3698,1,4,1,2
