Pallet: "pallet_timestamp", Extrinsic: "on_finalize", Lowest values: [], Highest values: [], Steps: [50], Repeat: 5
t,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
89,7148,3100,0,1,0,1
90,7225,3299,0,1,0,1
90,7280,3042,0,1,0,1
90,7115,2963,0,1,0,1
90,7289,3048,0,1,0,1
90,7079,3017,0,1,0,1
91,7223,3047,0,1,0,1
91,7200,3004,0,1,0,1
91,7239,2970,0,1,0,1
91,8145,3314,0,1,0,1
91,8008,3337,0,1,0,1
92,7806,3325,0,1,0,1
92,7921,3341,0,1,0,1
92,8808,3591,0,1,0,1
92,8519,3681,0,1,0,1
92,8850,3721,0,1,0,1
93,8649,3714,0,1,0,1
93,8654,3690,0,1,0,1
93,8673,3668,0,1,0,1
93,8806,3746,0,1,0,1
93,7782,3412,0,1,0,1
94,7945,3364,0,1,0,1
94,7653,3342,0,1,0,1
94,7683,3368,0,1,0,1
94,8153,3803,0,1,0,1
94,8674,3684,0,1,0,1
95,8628,3799,0,1,0,1
95,8710,3719,0,1,0,1
95,8738,3727,0,1,0,1
95,8713,3652,0,1,0,1
95,8790,3668,0,1,0,1
96,9010,3679,0,1,0,1
96,8814,3588,0,1,0,1
96,8793,3702,0,1,0,1
96,8915,3755,0,1,0,1
96,8699,3669,0,1,0,1
97,8808,3739,0,1,0,1
97,8624,3566,0,1,0,1
97,16854,3804,0,1,0,1
97,8820,3700,0,1,0,1
97,8769,3784,0,1,0,1
98,7190,3124,0,1,0,1
98,7318,3092,0,1,0,1
98,23191,3356,0,1,0,1
98,7857,3412,0,1,0,1
98,7754,3267,0,1,0,1
99,7885,3346,0,1,0,1
99,7802,3330,0,1,0,1
99,7782,3301,0,1,0,1
99,7961,3306,0,1,0,1
99,7784,3230,0,1,0,1
100,7960,3399,0,1,0,1
100,7752,3363,0,1,0,1
100,7682,3294,0,1,0,1
100,7748,3377,0,1,0,1
100,7708,3399,0,1,0,1

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=    8.003
    + t        0
              µs

Reads = 0 + (0 * t)
Writes = 0 + (0 * t)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    t   mean µs  sigma µs       %
    1     7.295     0.103    1.4%
    2     7.158     0.021    0.2%
    3     8.014     0.074    0.9%
    4     8.456     0.287    3.3%
    5     8.701     0.022    0.2%
    6     8.683     0.049    0.5%
    7     7.437     0.339    4.5%
    8     7.256     0.107    1.4%
    9     7.759      0.14    1.8%
   10     8.171     0.245    2.9%
   11     8.568     0.025    0.2%
   12     8.878     0.031    0.3%
   13     8.316     0.383    4.6%
   14      7.92     0.133    1.6%
   15     7.815      0.05    0.6%
   16     7.901     0.006    0.0%
   17     8.628     0.068    0.7%
   18     8.212     0.276    3.3%
   19     8.703     0.002    0.0%
   20      8.75     0.093    1.0%
   21     7.131     0.034    0.4%
   22     7.123     0.031    0.4%
   23     7.366     0.249    3.3%
   24     8.028     0.395    4.9%
   25     8.678     0.019    0.2%
   26     8.798     0.094    1.0%
   27     8.711     0.056    0.6%
   28     8.543     0.037    0.4%
   29     8.727     0.052    0.5%
   30     8.613     0.009    0.1%
   31     7.462     0.271    3.6%
   32     7.937     0.098    1.2%
   33     8.814     0.044    0.4%
   34     8.685     0.075    0.8%
   35     8.163     0.684    8.3%
   36     7.978     0.114    1.4%
   37     7.899     0.029    0.3%
   38     8.023     0.055    0.6%
   39     7.857     0.033    0.4%
   40     7.917     0.032    0.4%
   41     8.744     0.112    1.2%
   42     8.605     0.051    0.5%
   43     7.892     0.037    0.4%
   44     7.982     0.073    0.9%
   45     7.168     0.074    1.0%
   46     7.183     0.042    0.5%
   47      7.61     0.314    4.1%
   48     8.012     0.079    0.9%
   49     8.806     0.026    0.2%
   50     8.615     0.028    0.3%
   51     7.163     0.041    0.5%
   52     7.855     0.392    4.9%
   53     7.893      0.02    0.2%
   54     8.006     0.053    0.6%
   55     7.601     0.289    3.8%
   56     8.264     0.508    6.1%
   57     8.659     0.048    0.5%
   58     7.814     0.089    1.1%
   59     7.945      0.05    0.6%
   60     7.253     0.074    1.0%
