Pallet: "pallet_multisig", Extrinsic: "create_multisig", Lowest values: [], Highest values: [], Steps: [100], Repeat: 5
i,extrinsic_time,storage_root_time,reads,repeat_reads,writes,repeat_writes
243,8991570,9248,8,498,490,2
243,8901768,8943,8,498,490,2
243,9050918,7355,8,498,490,2
245,9260937,8484,8,502,494,2
245,9769398,10018,8,502,494,2
245,9230255,7915,8,502,494,2
245,8752137,7520,8,502,494,2
245,9271509,7331,8,502,494,2
247,9234341,10257,8,506,498,2
247,8709850,8600,8,506,498,2
247,12792887,10525,8,506,498,2
247,9575148,8852,8,506,498,2
247,10556488,9332,8,506,498,2
249,10591297,13980,8,510,502,2
249,10139051,10177,8,510,502,2
249,9782222,10074,8,510,502,2
249,9086588,8380,8,510,502,2
249,9784944,10556,8,510,502,2
251,9759007,10024,8,514,506,2
251,9417155,8968,8,514,506,2
251,9466837,9348,8,514,506,2
251,10158023,9173,8,514,506,2
251,9279446,8954,8,514,506,2
253,9748515,9094,8,518,510,2
253,8936191,8396,8,518,510,2
253,9538037,9660,8,518,510,2
253,9595714,7425,8,518,510,2
253,8945197,7989,8,518,510,2
255,9785920,8088,8,522,514,2
255,9377998,8369,8,522,514,2
255,9199373,8276,8,522,514,2
255,9389318,10329,8,522,514,2
255,12048655,8197,8,522,514,2

Median Slopes Analysis
========
-- Extrinsic Time --

Model:
Time ~=      174
    + i    37.26
              µs

Reads = 8 + (0 * i)
Writes = 4 + (2 * i)
Min Squares Analysis
========
-- Extrinsic Time --

Data points distribution:
    i   mean µs  sigma µs       %
    1     178.7     0.895    0.5%
    3     292.4     7.648    2.6%
    5     318.6     0.415    0.1%
    7     437.4     15.89    3.6%
    9     474.5     16.57    3.4%
   11     555.3     32.18    5.7%
   13     612.6     11.34    1.8%
   15     667.6     1.975    0.2%
   17     767.8      26.4    3.4%
   19     835.5     36.15    4.3%
   21     895.9     2.147    0.2%
   23      1009     7.794    0.7%
   25      1098     58.66    5.3%
   27      1116     16.61    1.4%
   29      1390     61.71    4.4%
   31      1331     28.72    2.1%
   33      1432      11.9    0.8%
   35      1443     71.46    4.9%
   37      1669     74.03    4.4%
   39      1559     30.68    1.9%
   41      1592     10.65    0.6%
   43      1659      8.21    0.4%
   45      1804     83.15    4.6%
   47      1965     35.63    1.8%
   49      2019      63.7    3.1%
   51      2181     52.67    2.4%
   53      2183     14.62    0.6%
   55      2259     15.44    0.6%
   57      2299     51.57    2.2%
   59      2416     38.91    1.6%
   61      2629     15.69    0.5%
   63      2735     20.58    0.7%
   65      2552      70.4    2.7%
   67      2555     65.89    2.5%
   69      2789     84.09    3.0%
   71      2771     86.73    3.1%
   73      2845     44.48    1.5%
   75      2829     32.54    1.1%
   77      3158     68.28    2.1%
   79      3139     33.82    1.0%
   81      3192     161.7    5.0%
   83      3472     45.13    1.2%
   85      3678     239.5    6.5%
   87      3469        84    2.4%
   89      3723     125.4    3.3%
   91      3627     193.2    5.3%
   93      3701     79.08    2.1%
   95      3781     109.7    2.9%
   97      3721     25.52    0.6%
   99      4063     116.9    2.8%
  101      3882     55.73    1.4%
  103      4093     41.09    1.0%
  105      4005     99.51    2.4%
  107      4095      20.6    0.5%
  109      4082     82.32    2.0%
  111      4314     165.2    3.8%
  113      5163     596.1   11.5%
  115      4522      64.1    1.4%
  117      4755     154.3    3.2%
  119      4604     33.07    0.7%
  121      4721     28.52    0.6%
  123      4651     13.61    0.2%
  125      4815     51.94    1.0%
  127      4911     37.27    0.7%
  129      5008     30.71    0.6%
  131      5366     84.76    1.5%
  133      5311     103.3    1.9%
  135      5315     35.05    0.6%
  137      5860     255.3    4.3%
  139      5742       253    4.4%
  141      5533     239.2    4.3%
  143      5450     56.31    1.0%
  145      5788     124.6    2.1%
  147      6181     39.42    0.6%
  149      5777     11.31    0.1%
  151      5489     84.16    1.5%
  153      5818     123.9    2.1%
  155      6038     95.32    1.5%
  157      6092     164.6    2.7%
  159      6152       270    4.3%
  161      6272      79.6    1.2%
  163      6472     88.28    1.3%
  165      6128       112    1.8%
  167      6801     185.4    2.7%
  169      6419      55.3    0.8%
  171      6318      57.5    0.9%
  173      7097     321.1    4.5%
  175      7087     95.04    1.3%
  177      6507     116.7    1.7%
  179      6594     124.1    1.8%
  181      6783     187.5    2.7%
  183      6802     207.6    3.0%
  185      6913     176.7    2.5%
  187      6779     125.2    1.8%
  189      6832     77.34    1.1%
  191      6881     36.94    0.5%
  193      7897     117.9    1.4%
  195      7053     106.9    1.5%
  197      7240       149    2.0%
  199      7619     196.3    2.5%
  201      7706     139.5    1.8%
  203      7682       154    2.0%
  205      7566     155.8    2.0%
  207      8005     249.5    3.1%
  209      7659     26.09    0.3%
  211      8056     223.2    2.7%
  213      8143     90.12    1.1%
  215      8413     157.8    1.8%
  217      8878     241.2    2.7%
  219      8596     131.4    1.5%
  221      8849     237.1    2.6%
  223      9359     350.5    3.7%
  225      8808     233.1    2.6%
  227      8618     99.85    1.1%
  229      8948     74.75    0.8%
  231      8741     131.9    1.5%
  233      8543     41.94    0.4%
  235      9172     325.7    3.5%
  237      9004     268.2    2.9%
  239      8683     148.1    1.7%
  241      9312     365.6    3.9%
  243      8904     69.41    0.7%
  245      9254     17.49    0.1%
  247      9788     560.4    5.7%
  249      9902     167.5    1.6%
  251      9547     150.8    1.5%
  253      9359       294    3.1%
  255      9517     189.6    1.9%

Quality and confidence:
param     error
i         0.188

Model:
Time ~=    191.4
    + i    37.44
              µs

Reads = 8 + (0 * i)
Writes = 4 + (2 * i)
